player_id,일자,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
69517,2025-05-01,KT,0.500,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0.277
69517,2025-05-11,KT,0.500,5,4,1,2,0,1,0,1,0,0,0,0,0,0,0.285
69517,2025-05-11,KT,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.28
69517,2025-05-13,KIA,0.500,5,4,1,2,0,0,0,0,0,0,1,0,0,0,0.287
69517,2025-05-14,KIA,0.200,5,5,0,1,0,0,0,1,0,0,0,0,2,0,0.284
69517,2025-05-15,KIA,0.500,4,2,1,1,0,0,0,1,0,0,1,0,0,0,0.287
69517,2025-05-17,삼성,0.500,5,4,1,2,1,0,0,0,0,0,1,0,0,0,0.293
69517,2025-05-17,삼성,0.333,5,3,1,1,0,0,0,0,0,0,2,0,0,0,0.294
69517,2025-05-18,삼성,0.750,4,4,1,3,0,0,0,2,1,0,0,0,0,0,0.306
69517,2025-05-02,LG,0.400,5,5,1,2,1,0,0,2,0,0,0,0,0,0,0.309
69517,2025-05-21,LG,0.400,5,5,1,2,0,0,1,2,0,0,0,0,0,0,0.312
69517,2025-05-22,LG,0.000,5,3,0,0,0,0,0,0,0,0,2,0,0,0,0.306
69517,2025-05-23,한화,0.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.304
69517,2025-05-24,한화,0.333,6,6,0,2,0,0,0,1,0,0,0,0,2,0,0.305
69517,2025-05-25,한화,0.333,5,3,1,1,0,0,0,0,0,0,2,0,0,0,0.306
69517,2025-05-27,삼성,0.500,4,4,1,2,1,0,0,0,0,0,0,0,1,0,0.31
69517,2025-05-29,삼성,0.200,5,5,1,1,0,0,0,0,0,0,0,0,1,0,0.307
69517,2025-05-03,SSG,0.750,4,4,3,3,1,0,0,1,0,0,0,0,0,0,0.317
69517,2025-05-31,SSG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.31
69517,2025-06-01,SSG,0.250,4,4,0,1,1,0,0,0,0,0,0,0,1,0,0.309
69517,2025-06-03,키움,0.400,5,5,2,2,2,0,0,1,0,0,0,0,0,0,0.311
69517,2025-06-04,키움,0.250,5,4,0,1,0,0,0,0,0,0,1,0,1,0,0.31
69517,2025-06-05,키움,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.304
69517,2025-06-06,두산,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.298
69517,2025-06-07,두산,0.750,4,4,1,3,0,0,0,2,0,0,0,0,0,0,0.307
69517,2025-06-08,두산,-,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.307
69517,2025-06-01,KT,0.000,5,3,1,0,0,0,0,0,0,0,2,0,1,1,0.302
69517,2025-06-11,KT,0.250,5,4,0,1,0,0,0,1,0,0,1,0,0,0,0.301
69517,2025-06-12,KT,0.400,6,5,2,2,1,0,0,1,0,0,1,0,0,0,0.304
69517,2025-06-14,SSG,0.000,4,3,1,0,0,0,0,0,0,0,1,0,1,0,0.3
69517,2025-06-15,SSG,0.250,4,4,0,1,1,0,0,0,0,0,0,0,1,0,0.299
69517,2025-06-17,한화,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.294
69517,2025-06-18,한화,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.289
69517,2025-06-19,한화,0.500,4,4,2,2,1,0,0,1,1,0,0,0,0,0,0.292
69517,2025-06-02,삼성,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.291
69517,2025-06-22,삼성,0.333,5,3,2,1,0,0,0,0,0,0,2,0,1,0,0.292
69517,2025-06-25,NC,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.287
69517,2025-06-26,NC,0.500,5,4,1,2,1,0,0,1,0,0,1,0,0,0,0.291
69517,2025-06-27,KT,0.600,5,5,1,3,0,0,0,2,0,0,0,0,1,0,0.297
69517,2025-06-28,KT,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.296
69517,2025-06-29,KT,0.250,5,4,1,1,0,0,0,1,0,0,0,0,0,0,0.295
69517,2025-07-01,LG,0.667,3,3,0,2,0,0,0,1,0,0,0,0,0,0,0.299
69517,2025-07-23,키움,0.667,5,3,2,2,0,0,0,1,0,0,2,0,1,0,0.303
69517,2025-07-24,키움,0.500,4,4,1,2,0,0,1,2,0,0,0,0,0,0,0.306
69517,2025-07-25,KIA,0.000,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0.301
69517,2025-07-26,KIA,0.600,5,5,2,3,1,0,1,1,0,0,0,0,1,0,0.306
69517,2025-07-27,KIA,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.305
69517,2025-07-29,NC,0.500,5,4,2,2,0,0,0,0,0,0,1,0,1,0,0.308
69517,2025-07-03,NC,0.000,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0.303
69517,2025-07-31,NC,0.000,5,3,1,0,0,0,0,0,0,0,2,0,0,0,0.3
69517,2025-08-01,키움,0.500,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0.302
69517,2025-08-02,키움,0.000,4,3,0,0,0,0,0,0,0,0,0,1,2,0,0.299
69517,2025-08-03,키움,0.250,5,4,2,1,0,0,0,1,0,0,1,0,1,0,0.299
69517,2025-08-05,KIA,0.333,4,3,0,1,0,0,0,0,0,0,1,0,2,0,0.299
69517,2025-08-06,KIA,0.000,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0.294
69517,2025-08-07,KIA,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.291
69517,2025-08-08,SSG,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.288
69517,2025-08-01,SSG,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.286
69517,2025-08-12,한화,0.333,4,3,0,1,0,0,0,0,0,0,1,0,2,0,0.286
69517,2025-08-13,한화,0.000,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0.283
69517,2025-08-14,한화,0.500,5,4,1,2,1,0,0,1,0,0,0,0,0,0,0.285
69517,2025-08-15,삼성,0.000,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0.282
69517,2025-08-16,삼성,0.250,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0.282
69517,2025-08-17,삼성,0.200,6,5,1,1,0,0,0,0,0,0,0,1,1,0,0.281
69517,2025-08-19,LG,0.750,5,4,1,3,0,0,0,0,0,0,1,0,0,0,0.286
69517,2025-08-02,LG,0.000,5,4,1,0,0,0,0,0,0,0,1,0,1,0,0.283
69517,2025-08-21,LG,0.200,6,5,1,1,0,0,0,1,0,0,0,0,1,0,0.282
69517,2025-08-22,NC,0.000,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0.279
69517,2025-08-23,NC,0.250,5,4,0,1,0,0,0,0,0,0,0,1,0,0,0.278
69517,2025-08-24,NC,0.400,5,5,2,2,1,0,0,1,0,0,0,0,1,0,0.28
69517,2025-08-26,KT,0.500,4,4,0,2,0,0,0,1,0,0,0,0,1,0,0.282
69517,2025-08-27,KT,0.600,5,5,0,3,0,1,0,0,0,0,0,0,0,0,0.286
69517,2025-08-28,KT,0.167,6,6,0,1,0,0,0,1,0,0,0,0,1,0,0.284
69517,2025-08-29,두산,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.284
69517,2025-08-03,두산,0.500,4,2,2,1,0,0,0,0,0,0,2,0,1,0,0.285
69517,2025-08-31,두산,0.500,4,2,1,1,0,0,0,0,0,0,1,0,1,0,0.286
69517,2025-09-02,LG,0.250,4,4,1,1,0,0,0,0,0,0,0,0,0,1,0.286
69517,2025-09-03,KT,0.000,5,4,1,0,0,0,0,0,0,0,1,0,0,0,0.283
69517,2025-09-05,SSG,0.000,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0.28
69517,2025-09-09,한화,0.000,4,2,1,0,0,0,0,0,0,0,2,0,1,0,0.278
69517,2025-09-01,한화,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.276
69517,2025-09-11,KIA,0.800,5,5,1,4,1,0,0,2,0,0,0,0,1,0,0.282
69517,2025-09-13,SSG,0.500,6,4,0,2,1,0,0,1,1,0,1,0,1,0,0.284
69517,2025-09-16,삼성,0.333,5,3,1,1,1,0,0,0,0,0,2,0,0,1,0.284
69517,2025-09-19,NC,0.250,4,4,2,1,0,0,0,1,0,0,0,0,1,0,0.284
69517,2025-09-23,NC,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.281
69517,2025-09-24,삼성,0.000,4,3,1,0,0,0,0,0,0,0,1,0,1,0,0.279
69517,2025-09-25,LG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.277
69517,2025-09-26,삼성,0.333,5,3,1,1,0,0,0,0,0,0,1,0,1,0,0.277
69517,2025-09-28,두산,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.275
69517,2025-09-29,SSG,0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.273
69517,2025-09-03,한화,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0.271
54908,2025-06-15,KIA,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
54908,2025-06-17,LG,-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
54908,2025-06-18,LG,0.333,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0.333
54908,2025-06-19,LG,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25
54908,2025-06-21,KT,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25
54908,2025-07-09,삼성,-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25
54908,2025-07-01,삼성,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25
54908,2025-09-13,두산,0.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.2
54908,2025-09-14,두산,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
54908,2025-09-16,SSG,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
54908,2025-09-19,롯데,0.333,4,3,0,1,0,0,0,0,0,0,1,0,1,0,0.25
54908,2025-09-02,KIA,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
54908,2025-09-21,KIA,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
54908,2025-09-23,롯데,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25
54908,2025-09-27,KIA,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
54908,2025-09-29,KIA,0.000,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0.2
54908,2025-10-01,LG,-,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.2
54344,2025-04-27,SSG,0.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0
54344,2025-04-29,롯데,0.000,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0.0
54344,2025-04-03,롯데,0.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0
54344,2025-05-28,KIA,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
54344,2025-07-03,SSG,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0
54344,2025-07-31,SSG,0.667,4,3,0,2,1,0,0,1,0,0,1,0,1,0,0.25
54344,2025-08-01,롯데,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0.182
54344,2025-08-02,롯데,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.154
54344,2025-08-03,롯데,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.143
54344,2025-08-05,NC,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.133
54344,2025-08-06,NC,-,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.133
54344,2025-08-07,NC,0.500,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0.176
54344,2025-08-08,두산,0.333,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0.2
54344,2025-08-09,두산,0.333,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0.217
61353,2025-06-06,한화,0.333,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0.333
61353,2025-06-07,한화,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.2
61353,2025-06-08,한화,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.143
61353,2025-06-01,삼성,1.000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.25
61353,2025-06-11,삼성,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
61353,2025-06-17,KT,1.000,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.333
61353,2025-06-18,KT,0.200,5,5,1,1,0,0,0,0,0,0,0,0,1,0,0.286
61353,2025-06-22,SSG,0.000,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0.25
61353,2025-06-24,키움,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.235
