Name,PA,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
장성우,480,11.50%,20.00%,0.57,0.333,0.38,0.713,0.133,1.0,0.283,-1.0,56,-2.4,0.33,96
양석환,294,8.20%,27.90%,0.29,0.32,0.401,0.72,0.153,2.5,0.326,-0.1,34,-1.5,0.33,96
고승민,538,10.40%,15.40%,0.67,0.35,0.35,0.699,0.079,4.3,0.319,-0.1,63,-2.9,0.329,96
김지찬,373,10.20%,11.80%,0.86,0.364,0.322,0.685,0.041,7.0,0.322,2.6,43,-2.1,0.329,95
김태군,274,6.20%,7.30%,0.85,0.331,0.373,0.704,0.114,1.6,0.262,-0.3,31,-2.1,0.326,94
임지열,417,10.10%,26.60%,0.38,0.322,0.382,0.704,0.138,5.4,0.316,-0.4,47,-3.3,0.326,93
김상수,423,12.30%,13.50%,0.91,0.349,0.335,0.684,0.082,2.6,0.283,-0.3,48,-3.9,0.325,93
카데나스,361,8.90%,18.60%,0.48,0.33,0.372,0.702,0.119,2.3,0.297,-1.0,41,-3.3,0.325,92
류지혁,464,7.10%,15.70%,0.45,0.351,0.323,0.674,0.043,3.9,0.336,-1.0,51,-5.2,0.322,91
황영묵,286,7.00%,12.90%,0.54,0.329,0.358,0.686,0.085,3.7,0.314,-1.4,31,-3.7,0.32,89
안상현,289,6.20%,29.40%,0.21,0.314,0.38,0.694,0.116,6.9,0.367,0.5,31,-3.8,0.32,89
문상철,209,12.00%,21.10%,0.57,0.325,0.347,0.672,0.133,3.5,0.252,-0.5,22,-3.1,0.318,88
이우성,337,9.20%,19.60%,0.47,0.321,0.36,0.681,0.11,3.0,0.308,-0.4,36,-5.0,0.317,88
오명진,371,7.30%,25.30%,0.29,0.321,0.366,0.687,0.103,5.1,0.352,-0.7,40,-5.6,0.317,88
김태연,340,6.80%,18.20%,0.37,0.329,0.34,0.669,0.079,3.6,0.319,-0.7,36,-5.3,0.317,87
김민혁,417,6.00%,9.80%,0.61,0.341,0.329,0.67,0.042,5.5,0.321,0.4,44,-6.5,0.317,87
박준순,298,3.40%,18.80%,0.18,0.307,0.379,0.687,0.096,6.0,0.338,0.8,31,-5.7,0.312,84
한준수,276,9.40%,17.40%,0.54,0.304,0.369,0.673,0.143,2.5,0.25,-0.3,28,-5.7,0.31,83
강승호,400,6.00%,28.20%,0.21,0.302,0.372,0.674,0.136,6.9,0.318,1.2,40,-8.7,0.309,82
정준재,442,11.50%,21.00%,0.55,0.34,0.288,0.629,0.043,7.4,0.326,3.4,43,-10.6,0.306,80
장두성,284,8.50%,22.50%,0.38,0.332,0.298,0.631,0.036,8.0,0.349,0.9,27,-7.7,0.302,78
천재환,294,5.80%,19.70%,0.29,0.292,0.368,0.659,0.13,7.8,0.277,0.6,28,-8.0,0.302,78
박주홍,283,10.60%,25.40%,0.42,0.31,0.331,0.64,0.105,7.2,0.303,1.5,27,-7.8,0.302,77
손호영,375,5.90%,17.60%,0.33,0.313,0.323,0.636,0.073,4.5,0.298,1.0,35,-10.7,0.3,77
이유찬,311,10.60%,21.20%,0.5,0.328,0.29,0.618,0.048,5.6,0.315,1.2,29,-9.2,0.299,76
황성빈,273,6.60%,16.80%,0.39,0.315,0.317,0.632,0.061,9.1,0.308,3.0,25,-8.3,0.298,75
오태곤,229,13.10%,25.80%,0.51,0.31,0.309,0.619,0.108,6.1,0.26,1.3,21,-7.1,0.297,75
어준서,360,8.30%,20.80%,0.4,0.305,0.327,0.632,0.09,3.8,0.291,-0.2,32,-11.3,0.297,74
서호철,292,2.70%,17.50%,0.16,0.301,0.335,0.636,0.068,4.5,0.315,-0.2,26,-9.5,0.295,73
김규성,222,9.50%,22.10%,0.43,0.313,0.301,0.614,0.067,4.5,0.296,-0.1,20,-7.4,0.294,73
김기연,245,7.80%,18.00%,0.43,0.307,0.315,0.622,0.068,2.2,0.297,-0.1,21,-8.3,0.293,72
이도윤,277,4.00%,18.80%,0.21,0.296,0.34,0.636,0.08,5.4,0.32,-0.1,24,-9.8,0.292,71
권동진,309,9.70%,29.40%,0.33,0.304,0.303,0.606,0.077,5.5,0.333,-0.1,26,-11.7,0.289,69
최원준,449,5.10%,15.80%,0.32,0.289,0.332,0.62,0.09,7.3,0.276,1.3,37,-17.3,0.288,68
김태진,304,6.60%,17.40%,0.38,0.281,0.341,0.622,0.108,3.2,0.268,-0.5,25,-12.3,0.285,67
조형우,294,6.50%,21.80%,0.3,0.294,0.312,0.606,0.074,1.0,0.296,-0.3,24,-12.0,0.285,67
이지영,216,5.10%,10.20%,0.5,0.283,0.325,0.608,0.086,3.2,0.253,-0.2,17,-9.3,0.282,65
김건희,344,3.80%,29.70%,0.13,0.27,0.345,0.615,0.102,3.5,0.342,-0.3,27,-15.2,0.281,64
이원석,248,9.30%,20.60%,0.45,0.29,0.292,0.583,0.09,7.0,0.245,2.7,19,-11.2,0.279,63
심우준,275,6.20%,17.80%,0.35,0.287,0.3,0.587,0.069,6.9,0.279,1.5,21,-12.9,0.277,61
전태현,207,9.70%,28.50%,0.34,0.304,0.258,0.562,0.027,4.3,0.336,0.6,15,-10.4,0.273,59
배정대,276,6.90%,23.60%,0.29,0.279,0.292,0.57,0.088,5.5,0.267,-0.3,19,-14.4,0.271,57
정훈,200,5.00%,20.00%,0.25,0.268,0.308,0.576,0.092,1.1,0.266,-0.2,13,-11.0,0.267,55
김민석,247,4.90%,25.10%,0.19,0.269,0.298,0.568,0.07,5.1,0.304,-0.5,15,-14.6,0.262,52
