game_id,success
20220511NCLT0,O
20220511SKSS0,O
20220511KTHT0,O
20220511OBWO0,O
20220512HHLG0,O
20220512NCLT0,O
20220512SKSS0,O
20220512KTHT0,O
20220512OBWO0,O
20220513LTHH0,O
20220513HTLG0,O
20220513NCSK0,O
20220513OBSS0,O
20220513WOKT0,O
20220514LTHH0,O
20220514HTLG0,O
20220514NCSK0,O
20220514OBSS0,O
20220514WOKT0,O
20220515LTHH0,O
20220515HTLG0,O
20220515NCSK0,O
20220515OBSS0,O
20220515WOKT0,O
20220517SSHH0,O
20220517SKOB0,O
20220517HTLT0,O
20220517WONC0,O
20220517LGKT0,O
20220518SSHH0,O
20220518SKOB0,O
20220518HTLT0,O
20220518WONC0,O
20220518LGKT0,O
20220519SSHH0,O
20220519SKOB0,O
20220519HTLT0,O
20220519WONC0,O
20220519LGKT0,O
20220520LTOB0,O
20220520LGSK0,O
20220520KTSS0,O
20220520NCHT0,O
20220520HHWO0,O
20220521LTOB0,O
20220521LGSK0,O
20220521KTSS0,O
20220521NCHT0,O
20220521HHWO0,O
20220522LTOB0,O
20220522LGSK0,O
20220522KTSS0,O
20220522NCHT0,O
20220522HHWO0,O
20220524OBHH0,O
20220524WOLG0,O
20220524LTSK0,O
20220524HTSS0,O
20220524KTNC0,O
20220525OBHH0,O
20220525WOLG0,O
20220525LTSK0,O
20220525HTSS0,O
20220525KTNC0,O
20220526OBHH0,O
20220526WOLG0,O
20220526LTSK0,O
20220526HTSS0,O
20220526KTNC0,O
20220527SSLG0,O
20220527WOLT0,O
20220527OBNC0,O
20220527HHKT0,O
20220527SKHT0,O
20220528WOLT0,O
20220528SKHT0,O
20220528SSLG0,O
20220528OBNC0,O
20220528HHKT0,O
20220529SSLG0,O
20220529WOLT0,O
20220529OBNC0,O
20220529HHKT0,O
20220529SKHT0,O
20220531NCHH0,O
20220531HTOB0,O
20220531KTSK0,O
20220531LGLT0,O
20220531SSWO0,O
20220601NCHH0,O
20220601HTOB0,O
20220601KTSK0,O
20220601LGLT0,O
20220601SSWO0,O
20220602NCHH0,O
20220602HTOB0,O
20220602KTSK0,O
20220602LGLT0,O
20220602SSWO0,O
20220603WOHH0,O
20220603SKLG0,O
20220603OBSS0,O
20220603LTNC0,O
20220603HTKT0,O
20220604WOHH0,O
20220604SKLG0,O
20220604OBSS0,O
20220604LTNC0,O
20220604HTKT0,O
20220605WOHH0,O
20220605SKLG0,O
20220605OBSS0,O
20220605LTNC0,O
20220605HTKT0,O
20220607HHOB0,O
20220607SSLT0,O
20220607SKNC0,O
20220607LGHT0,O
20220607KTWO0,O
20220608HHOB0,O
20220608SSLT0,O
20220608SKNC0,O
20220608LGHT0,O
20220608KTWO0,O
20220609HHOB0,O
20220609SSLT0,O
20220609SKNC0,O
20220609LGHT0,O
20220609KTWO0,O
20220610OBLG0,O
20220610HHSK0,O
20220610KTLT0,O
20220610NCSS0,O
20220610WOHT0,O
20220611OBLG0,O
20220611HHSK0,O
20220611KTLT0,O
20220611NCSS0,O
20220611WOHT0,O
20220612OBLG0,O
20220612HHSK0,O
20220612KTLT0,O
20220612NCSS0,O
20220612WOHT0,O
20220614LTHH0,O
20220614SSLG0,O
20220614HTNC0,O
20220614SKKT0,O
20220614OBWO0,O
20220615LTHH0,O
20220615SSLG0,O
20220615HTNC0,O
20220615SKKT0,O
20220615OBWO0,O
20220616LTHH0,O
20220616SSLG0,O
20220616HTNC0,O
20220616SKKT0,O
20220616OBWO0,O
20220617KTOB0,O
20220617SKLT0,O
20220617HHNC0,O
20220617SSHT0,O
20220617LGWO0,O
20220618LGWO0,O
20220618KTOB0,O
20220618SKLT0,O
20220618HHNC0,O
20220618SSHT0,O
20220619LGWO0,O
20220619KTOB0,O
20220619SKLT0,O
20220619HHNC0,O
20220619SSHT0,O
20220621HHLG0,O
20220621OBSK0,O
20220621WOSS0,O
20220621NCKT0,O
20220621LTHT0,O
20220622HHLG0,O
20220622OBSK0,O
20220622WOSS0,O
20220622NCKT0,O
20220622LTHT0,O
20220623HHLG0,O
20220623OBSK0,O
20220623WOSS0,O
20220623NCKT0,O
20220623LTHT0,O
20220624SSHH0,O
20220624HTOB0,O
20220624NCSK0,O
20220624WOLT0,O
20220624LGKT0,O
20220625SSHH0,O
20220625HTOB0,O
20220625NCSK0,O
20220625WOLT0,O
20220625LGKT0,O
20220626SSHH0,O
20220626HTOB0,O
20220626NCSK0,O
20220626WOLT0,O
20220626LGKT0,O
20220628SKHH0,O
20220628NCLG0,O
20220628OBLT0,O
20220628KTSS0,O
20220628HTWO0,O
20220629SKHH0,O
20220629NCLG0,O
20220629OBLT0,O
20220629KTSS0,O
20220629HTWO0,O
20220630SKHH0,O
20220630NCLG0,O
20220630OBLT0,O
20220630KTSS0,O
20220630HTWO0,O
20220701LTLG0,O
20220701HTSK0,O
20220701SSNC0,O
20220701OBKT0,O
20220701HHWO0,O
20220702HHWO0,O
20220702LTLG0,O
