기준일,순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
2022-04-10,4,롯데,8,4,4,0,0.5,4.0,4승0무4패,1패,1-0-2,3-0-2
2022-04-10,6,삼성,8,3,5,0,0.375,5.0,3승0무5패,4패,0-0-3,3-0-2
2022-04-10,6,KIA,8,3,5,0,0.375,5.0,3승0무5패,3패,3-0-2,0-0-3
2022-04-10,8,KT,8,2,6,0,0.25,6.0,2승0무6패,2패,1-0-4,1-0-2
2022-04-10,8,NC,8,2,6,0,0.25,6.0,2승0무6패,2패,1-0-4,1-0-2
2022-04-10,8,한화,8,2,6,0,0.25,6.0,2승0무6패,2승,2-0-1,0-0-5
2022-04-12,1,SSG,9,9,0,0,1.0,0.0,9승0무0패,9승,3-0-0,6-0-0
2022-04-12,2,LG,9,7,2,0,0.778,2.0,7승0무2패,1패,2-0-2,5-0-0
2022-04-12,3,두산,9,6,3,0,0.667,3.0,6승0무3패,2승,3-0-2,3-0-1
2022-04-12,4,키움,9,5,4,0,0.556,4.0,5승0무4패,4승,2-0-4,3-0-0
2022-04-12,5,삼성,9,4,5,0,0.444,5.0,4승0무5패,1승,1-0-3,3-0-2
2022-04-12,5,롯데,9,4,5,0,0.444,5.0,4승0무5패,2패,1-0-2,3-0-3
2022-04-12,5,KIA,9,4,5,0,0.444,5.0,4승0무5패,1승,4-0-2,0-0-3
2022-04-12,8,KT,9,2,7,0,0.222,7.0,2승0무7패,3패,1-0-5,1-0-2
2022-04-12,8,NC,9,2,7,0,0.222,7.0,2승0무7패,3패,1-0-4,1-0-3
2022-04-12,8,한화,9,2,7,0,0.222,7.0,2승0무7패,1패,2-0-1,0-0-6
2022-04-13,1,SSG,10,10,0,0,1.0,0.0,10승0무0패,10승,3-0-0,7-0-0
2022-04-13,2,LG,10,7,3,0,0.7,3.0,7승0무3패,2패,2-0-3,5-0-0
2022-04-13,3,두산,9,6,3,0,0.667,3.5,6승0무3패,2승,3-0-2,3-0-1
2022-04-13,4,키움,10,6,4,0,0.6,4.0,6승0무4패,5승,3-0-4,3-0-0
2022-04-13,5,삼성,10,5,5,0,0.5,5.0,5승0무5패,2승,2-0-3,3-0-2
2022-04-13,6,롯데,9,4,5,0,0.444,5.5,4승0무5패,2패,1-0-2,3-0-3
2022-04-13,6,KIA,9,4,5,0,0.444,5.5,4승0무5패,1승,4-0-2,0-0-3
2022-04-13,8,KT,9,2,7,0,0.222,7.5,2승0무7패,3패,1-0-5,1-0-2
2022-04-13,9,NC,10,2,8,0,0.2,8.0,2승0무8패,4패,1-0-4,1-0-4
2022-04-13,9,한화,10,2,8,0,0.2,8.0,2승0무8패,2패,2-0-1,0-0-7
2022-04-14,1,SSG,11,10,1,0,0.909,0.0,9승0무1패,1패,3-0-0,7-0-1
2022-04-14,2,LG,11,8,3,0,0.727,2.0,7승0무3패,1승,3-0-3,5-0-0
2022-04-14,3,두산,10,7,3,0,0.7,2.5,7승0무3패,3승,3-0-2,4-0-1
2022-04-14,4,키움,11,7,4,0,0.636,3.0,7승0무3패,6승,4-0-4,3-0-0
2022-04-14,5,삼성,11,6,5,0,0.545,4.0,6승0무4패,3승,3-0-3,3-0-2
2022-04-14,6,롯데,10,5,5,0,0.5,4.5,5승0무5패,1승,1-0-2,4-0-3
2022-04-14,7,KIA,10,4,6,0,0.4,5.5,4승0무6패,1패,4-0-3,0-0-3
2022-04-14,8,KT,10,2,8,0,0.2,7.5,2승0무8패,4패,1-0-6,1-0-2
2022-04-14,9,NC,11,2,9,0,0.182,8.0,2승0무8패,5패,1-0-4,1-0-5
2022-04-14,9,한화,11,2,9,0,0.182,8.0,2승0무8패,3패,2-0-1,0-0-8
2022-04-15,1,SSG,12,11,1,0,0.917,0.0,9승0무1패,1승,4-0-0,7-0-1
