Name,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F
파노니,82.2,7.95,261.00%,304.00%,54.00%,21.00%,6.90%,14.10%,24.20%,1.23,0.299,73.20%,2.72,3.25,-0.53
구승민,62.0,11.18,508.00%,220.00%,44.00%,29.30%,13.30%,16.00%,20.30%,1.31,0.293,79.70%,2.9,3.18,-0.27
엄상백,140.1,8.91,295.00%,302.00%,90.00%,23.90%,7.90%,16.00%,23.50%,1.22,0.294,79.20%,2.95,3.68,-0.73
루친스키,193.2,9.02,158.00%,571.00%,65.00%,24.30%,4.30%,20.10%,24.40%,1.13,0.311,72.20%,2.97,2.88,0.1
원종현,63.1,7.11,242.00%,294.00%,71.00%,19.20%,6.50%,12.70%,22.70%,1.14,0.267,77.30%,2.98,3.59,-0.61
뷰캐넌,160.0,6.58,219.00%,300.00%,56.00%,16.90%,5.60%,11.30%,27.30%,1.34,0.321,77.50%,3.04,3.52,-0.48
소형준,171.1,6.15,205.00%,300.00%,42.00%,16.60%,5.50%,11.10%,24.00%,1.15,0.281,70.20%,3.05,3.3,-0.26
노경은,79.2,6.21,260.00%,239.00%,56.00%,17.00%,7.10%,9.90%,23.30%,1.15,0.271,76.40%,3.05,3.74,-0.69
정철원,72.2,5.82,322.00%,181.00%,50.00%,16.00%,8.80%,7.10%,22.60%,1.18,0.26,75.20%,3.1,3.87,-0.77
김진성,58.0,8.38,341.00%,245.00%,93.00%,22.90%,9.30%,13.60%,20.70%,1.14,0.248,78.50%,3.1,3.96,-0.86
장현식,52.0,6.92,450.00%,154.00%,69.00%,17.20%,11.20%,6.00%,26.20%,1.54,0.309,80.90%,3.12,4.31,-1.19
이정용,59.1,6.07,273.00%,222.00%,46.00%,16.00%,7.20%,8.80%,22.60%,1.18,0.262,67.80%,3.19,3.61,-0.43
김시훈,83.1,8.53,464.00%,184.00%,76.00%,21.60%,11.80%,9.90%,23.60%,1.42,0.293,77.50%,3.24,4.18,-0.94
김재윤,66.1,10.58,285.00%,371.00%,68.00%,29.20%,7.90%,21.30%,18.70%,1.01,0.252,68.30%,3.26,2.87,0.39
고영표,182.1,7.7,114.00%,678.00%,35.00%,20.60%,3.00%,17.50%,26.60%,1.17,0.331,73.10%,3.26,2.72,0.54
김윤식,114.1,6.38,213.00%,300.00%,39.00%,16.80%,5.60%,11.20%,27.50%,1.33,0.325,73.30%,3.31,3.18,0.13
오승환,57.0,8.05,205.00%,392.00%,126.00%,21.30%,5.40%,15.90%,26.20%,1.26,0.307,80.90%,3.32,4.06,-0.75
정해영,56.0,6.91,289.00%,239.00%,48.00%,18.10%,7.60%,10.50%,24.50%,1.29,0.293,75.20%,3.38,3.42,-0.04
김영규,66.0,6.27,300.00%,209.00%,68.00%,17.10%,8.20%,8.90%,23.30%,1.18,0.27,75.60%,3.41,4.2,-0.79
홍건희,62.0,8.71,305.00%,286.00%,73.00%,22.60%,7.90%,14.70%,24.00%,1.27,0.299,68.90%,3.48,3.52,-0.03
스탁,165.0,7.53,453.00%,166.00%,49.00%,19.10%,11.50%,7.60%,25.60%,1.48,0.315,69.20%,3.55,4.02,-0.47
장민재,126.2,5.33,277.00%,192.00%,107.00%,14.10%,7.30%,6.80%,25.40%,1.29,0.274,77.40%,3.55,4.66,-1.11
이승호,50.1,7.87,483.00%,163.00%,125.00%,20.50%,12.60%,7.90%,23.80%,1.41,0.276,84.10%,3.58,5.14,-1.56
브랜든,65.0,5.54,332.00%,167.00%,69.00%,14.50%,8.70%,5.80%,22.30%,1.23,0.248,70.30%,3.6,4.21,-0.61
최원준,165.0,6.16,202.00%,305.00%,115.00%,15.80%,5.20%,10.70%,27.40%,1.33,0.303,74.40%,3.6,4.38,-0.78
김명신,79.2,6.89,282.00%,244.00%,56.00%,18.30%,7.50%,10.80%,24.60%,1.26,0.293,72.90%,3.62,3.63,-0.01
이태양,112.0,4.9,193.00%,254.00%,121.00%,12.90%,5.10%,7.80%,26.20%,1.25,0.275,76.60%,3.62,4.72,-1.1
반즈,186.1,7.73,227.00%,340.00%,39.00%,20.30%,6.00%,14.30%,24.20%,1.19,0.301,66.90%,3.62,3.18,0.44
박영현,51.2,9.58,348.00%,275.00%,87.00%,25.10%,9.10%,16.00%,23.10%,1.28,0.295,72.90%,3.66,3.58,0.08
김도규,51.0,7.94,335.00%,237.00%,35.00%,20.60%,8.70%,11.90%,24.60%,1.31,0.311,66.00%,3.71,3.39,0.32
페냐,67.2,9.58,399.00%,240.00%,53.00%,24.60%,10.20%,14.30%,24.30%,1.37,0.322,70.00%,3.72,3.44,0.29
최원태,105.2,5.37,341.00%,158.00%,43.00%,14.10%,9.00%,5.20%,23.40%,1.27,0.267,67.40%,3.75,3.99,-0.24
박세웅,157.1,8.35,183.00%,456.00%,46.00%,21.50%,4.70%,16.80%,28.20%,1.35,0.355,67.00%,3.78,2.86,0.92
곽빈,147.2,8.41,366.00%,230.00%,79.00%,21.40%,9.30%,12.10%,24.90%,1.37,0.307,74.10%,3.78,4.01,-0.23
양현종,175.1,7.24,257.00%,282.00%,72.00%,19.00%,6.70%,12.20%,24.60%,1.25,0.292,67.40%,3.85,3.63,0.22
이의리,154.0,9.41,432.00%,218.00%,105.00%,24.00%,11.00%,13.00%,21.80%,1.31,0.269,71.00%,3.86,4.34,-0.48
주권,50.2,5.51,142.00%,388.00%,53.00%,15.30%,3.90%,11.30%,29.70%,1.3,0.342,71.20%,3.91,3.31,0.6
원태인,165.1,7.08,207.00%,342.00%,87.00%,18.60%,5.40%,13.10%,26.60%,1.29,0.311,73.00%,3.92,3.74,0.18
최민준,68.1,6.32,448.00%,141.00%,132.00%,16.70%,11.80%,4.90%,20.20%,1.24,0.211,68.50%,3.95,5.37,-1.42
나종덕,117.2,9.41,283.00%,332.00%,38.00%,24.30%,7.30%,17.00%,26.80%,1.38,0.355,69.60%,3.98,2.77,1.2
서진용,67.1,7.35,481.00%,153.00%,67.00%,18.50%,12.10%,6.40%,24.80%,1.49,0.298,74.00%,4.01,4.36,-0.35
최준용,71.0,10.14,254.00%,400.00%,127.00%,26.40%,6.60%,19.80%,22.70%,1.17,0.283,72.00%,4.06,3.97,0.09
라미레즈,65.1,6.47,510.00%,127.00%,55.00%,16.50%,13.00%,3.50%,21.60%,1.36,0.253,69.70%,4.13,4.67,-0.54
이인복,126.2,5.04,213.00%,237.00%,43.00%,13.00%,5.50%,7.50%,29.80%,1.44,0.337,69.40%,4.19,3.59,0.6
배제성,107.0,7.49,387.00%,193.00%,67.00%,19.40%,10.00%,9.40%,25.10%,1.39,0.303,67.70%,4.21,3.92,0.29
강재민,51.1,6.84,508.00%,134.00%,123.00%,16.80%,12.50%,4.30%,22.10%,1.42,0.242,75.90%,4.21,5.47,-1.27
임기영,129.1,5.71,251.00%,228.00%,125.00%,14.80%,6.50%,8.30%,26.70%,1.34,0.287,75.30%,4.24,4.78,-0.54
장지훈,55.0,5.4,180.00%,300.00%,98.00%,14.30%,4.80%,9.50%,25.80%,1.22,0.281,71.40%,4.25,4.27,-0.02
애플러,140.1,5.52,257.00%,215.00%,83.00%,13.80%,6.40%,7.40%,29.90%,1.51,0.333,74.60%,4.3,4.25,0.04
김민우,163.0,7.12,464.00%,154.00%,88.00%,18.10%,11.80%,6.30%,23.10%,1.39,0.268,72.00%,4.36,4.68,-0.32
김범수,66.0,7.91,477.00%,166.00%,68.00%,20.10%,12.10%,8.00%,25.50%,1.5,0.314,69.50%,4.36,4.25,0.12
장시환,63.2,9.47,466.00%,203.00%,57.00%,23.90%,11.80%,12.10%,23.60%,1.43,0.309,63.70%,4.38,3.61,0.78
오원석,144.0,7.0,363.00%,193.00%,100.00%,17.70%,9.20%,8.50%,27.60%,1.5,0.32,71.20%,4.5,4.45,0.05
송명기,107.2,8.86,451.00%,196.00%,117.00%,21.40%,10.90%,10.50%,27.20%,1.58,0.332,71.30%,4.51,4.93,-0.42
데스파이네,163.0,6.79,265.00%,256.00%,77.00%,17.00%,6.60%,10.30%,29.60%,1.51,0.347,68.40%,4.53,3.95,0.58
신민혁,118.1,7.99,236.00%,339.00%,114.00%,20.20%,6.00%,14.20%,26.70%,1.34,0.314,70.90%,4.56,4.2,0.36
이재학,91.0,7.12,534.00%,133.00%,49.00%,17.70%,13.30%,4.40%,21.80%,1.42,0.262,62.30%,4.75,4.47,0.28
한현희,77.2,6.84,278.00%,246.00%,104.00%,17.10%,6.90%,10.10%,26.40%,1.38,0.301,69.30%,4.75,4.51,0.24
서준원,60.0,6.75,345.00%,196.00%,45.00%,17.00%,8.70%,8.30%,27.40%,1.47,0.328,68.70%,4.8,3.84,0.96
김택형,60.1,9.25,328.00%,282.00%,119.00%,23.80%,8.40%,15.30%,24.20%,1.31,0.295,69.20%,4.92,4.2,0.72
이영하,98.2,7.57,520.00%,146.00%,46.00%,18.00%,12.30%,5.60%,27.30%,1.68,0.334,64.80%,4.93,4.18,0.74
윤중현,53.2,4.53,235.00%,193.00%,67.00%,11.30%,5.80%,5.40%,28.50%,1.43,0.311,65.40%,5.03,4.32,0.72
임찬규,103.2,6.51,339.00%,192.00%,87.00%,16.30%,8.50%,7.80%,27.40%,1.47,0.314,68.30%,5.04,4.43,0.61
한승혁,80.1,7.73,448.00%,173.00%,45.00%,18.40%,10.60%,7.70%,30.30%,1.74,0.374,67.00%,5.27,3.94,1.33
백정현,124.2,5.05,267.00%,189.00%,159.00%,12.50%,6.60%,5.90%,29.80%,1.53,0.311,73.30%,5.27,5.57,-0.3
최승용,93.1,6.17,415.00%,149.00%,77.00%,15.10%,10.20%,5.00%,27.50%,1.58,0.314,65.30%,5.3,4.48,0.82
스파크맨,84.2,9.46,457.00%,207.00%,64.00%,23.10%,11.10%,11.90%,28.60%,1.65,0.373,65.60%,5.31,3.78,1.54
정찬헌,87.1,4.33,289.00%,150.00%,134.00%,10.80%,7.20%,3.60%,29.80%,1.53,0.309,69.80%,5.36,5.43,-0.07
이민호,119.1,5.51,324.00%,170.00%,106.00%,13.50%,8.00%,5.60%,29.80%,1.58,0.328,67.50%,5.51,4.85,0.66
김유영,51.0,7.76,529.00%,147.00%,71.00%,17.30%,11.80%,5.50%,32.60%,2.0,0.393,71.40%,5.65,4.53,1.12
남지민,89.0,4.15,455.00%,91.00%,91.00%,9.80%,10.80%,-1.00%,29.50%,1.73,0.313,61.60%,6.37,5.3,1.07
노바,63.2,4.52,353.00%,128.00%,71.00%,11.00%,8.60%,2.40%,29.90%,1.62,0.326,57.40%,6.5,4.72,1.78
허윤동,55.0,5.89,556.00%,106.00%,131.00%,13.60%,12.90%,0.80%,28.60%,1.78,0.311,65.70%,6.55,6.05,0.49
박신지,61.2,5.55,584.00%,95.00%,102.00%,12.10%,12.80%,-0.60%,31.30%,2.01,0.345,66.30%,6.71,5.72,0.99
주현상,55.1,5.37,228.00%,236.00%,81.00%,13.40%,5.70%,7.70%,30.30%,1.5,0.337,55.60%,6.83,4.3,2.53
황동재,66.1,7.19,421.00%,171.00%,122.00%,17.00%,9.90%,7.10%,32.40%,1.84,0.374,58.50%,7.06,4.86,2.2
윤대경,75.1,6.09,203.00%,300.00%,72.00%,14.60%,4.90%,9.70%,32.60%,1.63,0.373,55.10%,7.53,3.93,3.6
