YEAR,PLAYER_ID,PLAYER_NAME,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,WHIP,BABIP,LOB%,ERA,FIP,E-F
2022,64001,고영표,7.7,114.00%,678.00%,35.00%,20.60%,3.00%,17.50%,1.17,0.331,73.10%,3.26,2.72,0.54
2022,67119,고우석,11.87,312.00%,381.00%,89.00%,33.30%,8.80%,24.60%,0.96,0.235,92.90%,1.48,3.03,-1.54
2022,68220,곽빈,8.41,366.00%,230.00%,79.00%,21.40%,9.30%,12.10%,1.37,0.307,74.10%,3.78,4.01,-0.23
2022,63543,구승민,11.18,508.00%,220.00%,44.00%,29.30%,13.30%,16.00%,1.31,0.293,79.70%,2.9,3.18,-0.27
2022,65933,구창모,8.7,234.00%,372.00%,56.00%,23.90%,6.40%,17.50%,1.08,0.281,80.70%,2.1,3.06,-0.96
2022,77829,김광현,7.94,234.00%,340.00%,52.00%,22.00%,6.50%,15.60%,1.07,0.272,80.80%,2.13,3.14,-1.01
2022,68585,김도규,7.94,335.00%,237.00%,35.00%,20.60%,8.70%,11.90%,1.31,0.311,66.00%,3.71,3.39,0.32
2022,67246,김명신,6.89,282.00%,244.00%,56.00%,18.30%,7.50%,10.80%,1.26,0.293,72.90%,3.62,3.63,-0.01
2022,65048,김민수,10.15,167.00%,607.00%,33.00%,27.80%,4.60%,23.20%,1,0.297,82.10%,1.9,2.3,-0.4
2022,65764,김민우,7.12,464.00%,154.00%,88.00%,18.10%,11.80%,6.30%,1.39,0.268,72.00%,4.36,4.68,-0.32
2022,65769,김범수,7.91,477.00%,166.00%,68.00%,20.10%,12.10%,8.00%,1.5,0.314,69.50%,4.36,4.25,0.12
2022,68928,김시훈,8.53,464.00%,184.00%,76.00%,21.60%,11.80%,9.90%,1.42,0.293,77.50%,3.24,4.18,-0.94
2022,68900,김영규,6.27,300.00%,209.00%,68.00%,17.10%,8.20%,8.90%,1.18,0.27,75.60%,3.41,4.2,-0.79
2022,64596,김유영,7.76,529.00%,147.00%,71.00%,17.30%,11.80%,5.50%,2,0.393,71.40%,5.65,4.53,1.12
2022,50157,김윤식,6.38,213.00%,300.00%,39.00%,16.80%,5.60%,11.20%,1.33,0.325,73.30%,3.31,3.18,0.13
2022,67391,김재웅,8.04,416.00%,193.00%,57.00%,22.00%,11.40%,10.60%,1.09,0.217,87.30%,2.01,3.91,-1.9
2022,65062,김재윤,10.58,285.00%,371.00%,68.00%,29.20%,7.90%,21.30%,1.01,0.252,68.30%,3.26,2.87,0.39
2022,75867,김진성,8.38,341.00%,245.00%,93.00%,22.90%,9.30%,13.60%,1.14,0.248,78.50%,3.1,3.96,-0.86
2022,65343,김택형,9.25,328.00%,282.00%,119.00%,23.80%,8.40%,15.30%,1.31,0.295,69.20%,4.92,4.2,0.72
2022,67539,나균안,9.41,283.00%,332.00%,38.00%,24.30%,7.30%,17.00%,1.38,0.355,69.60%,3.98,2.77,1.2
2022,50720,남지민,4.15,455.00%,91.00%,91.00%,9.80%,10.80%,-1.00%,1.73,0.313,61.60%,6.37,5.3,1.07
2022,73211,노경은,6.21,260.00%,239.00%,56.00%,17.00%,7.10%,9.90%,1.15,0.271,76.40%,3.05,3.74,-0.69
2022,52833,노바,4.52,353.00%,128.00%,71.00%,11.00%,8.60%,2.40%,1.62,0.326,57.40%,6.5,4.72,1.78
