YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
2021,66657,이진영,KIA,중견수,12,8,76,0,0,20,0,0,1,0,0,0,
2021,66657,이진영,KIA,우익수,4,3,31,0,0,5,0,0,1,0,0,0,
2021,64560,이창진,KIA,우익수,3,0,8,0,0,5,0,0,1,0,0,0,
2021,64560,이창진,KIA,좌익수,22,5,65,1,0,24,0,0,0.96,0,0,0,
2021,64560,이창진,KIA,중견수,82,67,558 1/3,0,0,168,1,0,1,0,0,0,
2021,62754,임기영,KIA,투수,28,28,153,3,0,4,21,2,0.893,0,0,0,
2021,51665,장민기,KIA,투수,21,0,23 1/3,0,0,0,2,0,1,0,0,0,
2021,69645,장지수,KIA,투수,9,0,14 1/3,0,0,3,2,0,1,0,0,0,
2021,63950,장현식,KIA,투수,69,0,76 2/3,1,0,1,9,0,0.909,0,0,0,
2021,66609,전상현,KIA,투수,15,0,13,0,0,2,0,0,1,0,0,0,
2021,50662,정해영,KIA,투수,64,0,65 1/3,1,1,3,10,2,0.929,0,0,0,
2021,64615,차명진,KIA,투수,4,3,10 2/3,0,0,0,0,0,,0,0,0,
2021,50650,최용준,KIA,투수,3,2,6 1/3,0,0,0,0,0,,0,0,0,
2021,66606,최원준,KIA,우익수,140,133,1163 1/3,7,0,291,10,2,0.977,0,0,0,
2021,66606,최원준,KIA,중견수,13,10,80 2/3,0,0,21,0,0,1,0,0,0,
2021,62893,최정민,KIA,3루수,1,0,1,0,0,0,0,0,,0,0,0,
2021,62893,최정민,KIA,우익수,1,0,2,0,0,0,0,0,,0,0,0,
2021,62893,최정민,KIA,2루수,6,0,9,0,0,2,1,1,1,0,0,0,
2021,62893,최정민,KIA,중견수,9,1,30,0,0,9,0,0,1,0,0,0,
2021,62893,최정민,KIA,좌익수,5,2,17,0,0,2,0,0,1,0,0,0,
2021,65464,최정용,KIA,2루수,22,6,77 1/3,0,0,19,27,6,1,0,0,0,
2021,65464,최정용,KIA,3루수,6,2,24,2,0,3,5,1,0.8,0,0,0,
2021,65464,최정용,KIA,투수,1,0,01월 03일,0,0,0,0,0,,0,0,0,
2021,72443,최형우,KIA,좌익수,2,1,10,0,0,4,0,0,1,0,0,0,
2021,69652,터커,KIA,좌익수,91,88,693,1,0,143,1,1,0.993,0,0,0,
2021,69652,터커,KIA,우익수,10,7,52 2/3,1,0,11,0,0,0.917,0,0,0,
2021,69652,터커,KIA,1루수,28,27,244 2/3,1,0,212,17,20,0.996,0,0,0,
2021,63722,한승택,KIA,포수,82,68,589,5,3,489,53,8,0.991,5,29,16,35.6
2021,61666,한승혁,KIA,투수,8,5,23 2/3,0,1,1,4,0,1,0,0,0,
2021,78247,홍상삼,KIA,투수,49,0,36,0,0,1,0,0,1,0,0,0,
2021,65610,황대인,KIA,1루수,71,64,546,3,0,502,28,48,0.994,0,0,0,
2021,62908,황윤호,KIA,2루수,2,1,11,0,0,0,4,0,1,0,0,0,
2021,62908,황윤호,KIA,3루수,4,3,29 2/3,2,0,2,4,0,0.75,0,0,0,
2021,62908,황윤호,KIA,투수,1,0,02월 03일,0,0,0,0,0,,0,0,0,
2021,50393,김동욱,키움,투수,3,0,3,0,0,0,0,0,,0,0,0,
2021,50360,김동혁,키움,투수,40,8,82,2,1,1,14,2,0.882,0,0,0,
2021,50304,김병휘,키움,유격수,3,0,3,0,0,0,2,1,1,0,0,0,
2021,50304,김병휘,키움,2루수,5,2,24,1,0,5,7,1,0.923,0,0,0,
2021,66018,김선기,키움,투수,21,7,48 1/3,1,0,4,4,0,0.889,0,0,0,
2021,67828,김성민,키움,투수,47,0,46 2/3,2,0,2,11,2,0.867,0,0,0,
2021,51301,김성진,키움,투수,46,0,41 2/3,1,0,3,4,0,0.875,0,0,0,
2021,68346,김수환,키움,3루수,4,4,28 1/3,1,0,1,8,1,0.9,0,0,0,
2021,68346,김수환,키움,1루수,8,7,59,1,0,50,2,7,0.981,0,0,0,
2021,65898,김웅빈,키움,3루수,56,42,364 2/3,4,0,32,77,9,0.965,0,0,0,
2021,65304,김은성,키움,좌익수,6,5,44,0,0,17,0,0,1,0,0,0,
2021,69367,김인범,키움,투수,3,0,5 1/3,0,0,0,0,0,,0,0,0,
2021,67391,김재웅,키움,투수,51,0,53 1/3,2,0,0,6,0,0.75,0,0,0,
2021,62332,김재현,키움,포수,39,12,139,1,0,93,8,0,0.99,1,7,2,22.2
2021,65392,김정인,키움,투수,11,6,31 2/3,0,0,1,1,0,1,0,0,0,
2021,69306,김주형,키움,2루수,3,0,4,0,0,1,0,0,1,0,0,0,
2021,69306,김주형,키움,3루수,1,1,9,0,0,1,1,0,1,0,0,0,
2021,69306,김주형,키움,유격수,30,19,170 2/3,5,0,22,52,12,0.937,0,0,0,
2021,51393,김준형,키움,투수,14,0,14 1/3,0,0,0,1,0,1,0,0,0,
2021,62360,김태훈,키움,투수,66,0,64 1/3,2,0,6,10,1,0.889,0,0,0,
2021,67304,김혜성,키움,유격수,114,104,905 2/3,29,0,159,322,74,0.943,0,0,0,
