year,player_id,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
2021,69399,윤정현,키움,1.46,10,0,0,0,1,,12.33,11,0,5,1,7,2,2,1.3
2021,67603,이승호,키움,5.51,38,1,3,0,5,0.25,47.33,55,4,31,1,37,39,29,1.82
2021,50354,이종민,키움,23.14,2,0,0,0,0,,2.33,4,1,7,0,3,6,6,4.71
2021,65398,임규빈,키움,10.38,5,0,0,0,0,,8.66,13,3,4,0,6,10,10,1.96
2021,51359,장재영,키움,9.17,19,0,1,0,0,0,17.66,15,0,24,3,14,18,18,2.21
2021,78148,정찬헌,키움,4.01,23,9,5,0,0,0.643,114.33,133,6,27,6,59,55,51,1.4
2021,63342,조상우,키움,3.48,44,6,5,15,5,0.545,44.00,30,4,19,2,47,18,17,1.11
2021,69360,조영건,키움,0,1,0,0,0,0,,1.00,1,0,2,0,3,0,0,3
2021,65320,최원태,키움,4.58,28,9,11,0,0,0.45,143.33,163,11,53,10,93,89,73,1.51
2021,62363,한현희,키움,3.89,18,6,2,0,1,0.75,85.66,86,4,30,6,61,42,37,1.35
2021,64001,고영표,KT,2.92,26,11,6,0,1,0.647,166.66,147,9,27,14,130,59,54,1.04
2021,65048,김민수,KT,2.95,56,4,2,0,11,0.667,58.00,56,2,24,3,55,25,19,1.38
2021,65062,김재윤,KT,2.42,65,4,3,32,0,0.571,67.00,57,5,24,0,64,19,18,1.21
2021,50040,데스파이네,KT,3.39,33,13,10,0,0,0.565,188.66,175,10,78,7,165,81,71,1.34
2021,60559,박시영,KT,2.4,48,3,3,0,12,0.5,45.00,30,4,15,1,51,16,12,1
2021,65516,배제성,KT,3.68,26,9,10,0,0,0.474,141.66,126,6,82,1,136,67,58,1.47
2021,50030,소형준,KT,4.16,24,7,7,0,0,0.5,119.00,123,6,51,4,85,67,55,1.46
2021,64017,심재민,KT,2.89,28,0,1,0,1,0,46.66,41,4,11,0,35,15,15,1.11
2021,73738,안영명,KT,4.08,35,0,1,0,4,0,35.33,24,2,11,1,32,17,16,0.99
2021,65056,엄상백,KT,4.1,10,4,1,0,0,0.8,52.66,41,7,28,3,45,24,24,1.31
2021,64504,오윤석,KT,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0
2021,76757,유원상,KT,6.08,11,1,1,0,1,0.5,13.33,15,0,7,0,13,10,9,1.65
2021,67008,이대은,KT,3.48,31,3,2,1,9,0.6,31.00,27,4,11,1,22,15,12,1.23
2021,75342,이보근,KT,15.55,16,0,1,0,1,0,11.00,28,4,7,0,9,20,19,3.18
2021,69054,이상동,KT,8.53,6,0,1,0,1,0,6.33,7,0,3,0,5,6,6,1.58
2021,67048,이정현,KT,9.35,2,0,1,0,0,0,8.66,12,3,5,0,1,9,9,1.96
2021,65057,이창재,KT,2.7,32,2,0,0,0,1,26.66,22,0,10,0,19,8,8,1.2
2021,75340,전유수,KT,3.38,11,1,0,0,0,1,10.66,9,1,6,0,9,6,4,1.41
2021,64047,조현우,KT,2.61,49,0,0,0,6,,31.00,26,0,7,1,13,10,9,1.06
2021,65060,주권,KT,3.31,62,3,4,0,27,0.429,49.00,48,3,19,1,19,19,18,1.37
2021,51060,지명성,KT,0,3,1,0,0,0,1,4.00,1,0,1,1,4,1,0,0.5
2021,69032,쿠에바스,KT,4.12,23,9,5,0,0,0.643,133.33,131,11,51,3,137,68,61,1.37
2021,78517,하준호,KT,6.75,10,0,0,0,0,,12.00,16,2,6,0,10,10,9,1.83
2021,51058,한차현,KT,19.64,3,0,0,0,0,,3.66,10,3,2,0,3,8,8,3.27
2021,67119,고우석,LG,2.17,63,1,5,30,0,0.167,58.00,47,3,23,3,68,15,14,1.21
2021,72523,고효준,LG,3.86,3,0,0,0,0,,2.33,3,0,0,0,1,1,1,1.29
2021,60337,김대유,LG,2.13,64,4,1,0,24,0.8,50.66,32,2,15,9,56,13,12,0.93
2021,66145,김대현,LG,12.27,4,0,0,0,0,,3.66,7,2,3,1,4,8,5,2.73
2021,50157,김윤식,LG,4.46,35,7,4,0,1,0.636,66.66,65,3,36,6,56,37,33,1.52
2021,60181,김지용,LG,0,3,0,0,0,0,,4.00,2,0,1,1,5,0,0,0.75
2021,51154,김진수,LG,3.86,3,0,0,0,0,,2.33,2,0,0,0,2,1,1,0.86
2021,63103,류원석,LG,6,6,0,0,0,0,,6.00,1,0,9,1,8,4,4,1.67
2021,63145,배재준,LG,4.13,15,2,2,0,0,0.5,32.66,42,1,13,3,23,17,15,1.68
2021,65109,백승현,LG,2.16,16,0,0,0,1,,16.66,13,0,4,2,10,4,4,1.02
2021,67143,손주영,LG,8.44,7,1,3,0,0,0.25,26.66,31,4,20,1,21,25,25,1.91
2021,73801,송은범,LG,4.1,35,2,2,0,4,0.5,37.33,34,1,13,2,19,18,17,1.26
2021,51136,수아레즈,LG,2.18,23,10,2,0,0,0.833,115.33,91,4,41,4,126,33,28,1.14
2021,67116,오석주,LG,6.48,9,0,0,0,0,,8.33,9,0,6,0,7,6,6,1.8
2021,50126,이민호,LG,4.3,25,8,9,0,0,0.471,115.00,89,13,45,14,100,58,55,1.17
2021,65117,이상규,LG,9,7,0,0,0,0,,6.00,8,1,2,1,4,6,6,1.67
