YEAR,PLAYER_ID,PLAYER_NAME,TEAM_ID,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
2023,65586,전병우,키움,0.145,41,75,62,6,9,3,0,1,15,6,2,0
2023,69332,주성원,키움,0.217,25,72,69,7,15,2,1,0,19,2,1,1
2023,64350,하영민,키움,,3,0,0,0,0,0,0,0,0,0,0,0
2023,53375,후라도,키움,,1,0,0,0,0,0,0,0,0,0,0,0
2023,69064,강민성,KT,0.182,12,27,22,2,4,1,0,0,5,0,1,0
2023,68050,강백호,KT,0.265,71,271,238,32,63,10,1,8,99,39,0,2
2023,50066,강현우,KT,0.194,53,111,103,11,20,6,0,1,29,11,1,0
2023,68043,김민,KT,,1,0,0,0,0,0,0,0,0,0,0,0
2023,64004,김민혁,KT,0.297,113,448,397,68,118,20,3,3,153,41,7,5
2023,52002,김병준,KT,0,3,2,2,0,0,0,0,0,0,0,0,0
2023,64014,김병희,KT,0,5,9,8,0,0,0,0,0,0,0,0,0
2023,79402,김상수,KT,0.271,129,512,443,58,120,19,1,3,150,56,8,3
2023,51097,김영현,KT,,1,0,0,0,0,0,0,0,0,0,0,0
2023,65062,김재윤,KT,,5,0,0,0,0,0,0,0,0,0,0,0
2023,62558,김준태,KT,0.209,69,136,115,10,24,4,0,3,37,23,1,0
2023,53036,류현인,KT,0.13,17,24,23,6,3,0,0,0,3,3,0,0
2023,67063,문상인,KT,,1,1,0,0,0,0,0,0,0,0,0,0
2023,50007,문상준,KT,0.2,2,5,5,1,1,0,0,0,1,0,0,0
2023,64007,문상철,KT,0.26,112,330,304,30,79,20,0,9,126,46,1,6
2023,73113,박경수,KT,0.2,107,221,185,12,37,13,0,1,53,12,5,0
2023,69056,박민석,KT,0.25,4,4,4,1,1,0,0,0,1,0,0,0
2023,75125,박병호,KT,0.283,132,493,431,53,122,15,0,18,191,87,0,8
2023,52060,박영현,KT,,3,0,0,0,0,0,0,0,0,0,0,0
2023,64166,배정대,KT,0.277,97,361,311,48,86,16,0,2,108,38,4,5
2023,53057,손민석,KT,0.1,9,12,10,2,1,0,0,0,1,1,0,0
2023,64012,송민섭,KT,0.13,69,25,23,6,3,0,0,0,3,0,0,0
2023,62556,신본기,KT,0.204,40,75,54,8,11,2,0,1,16,7,1,4
2023,67006,안치영,KT,0.29,76,136,124,20,36,3,1,0,41,9,3,1
2023,52009,알포드,KT,0.289,133,547,491,83,142,31,3,15,224,70,0,3
2023,64504,오윤석,KT,0.251,82,223,199,24,50,13,1,4,77,17,6,0
2023,69054,이상동,KT,,1,0,0,0,0,0,0,0,0,0,0,0
2023,60566,이상호,KT,0.148,63,60,54,15,8,1,0,0,9,5,4,0
2023,69068,이선우,KT,,1,0,0,0,0,0,0,0,0,0,0,0
2023,66702,이시원,KT,0.138,29,32,29,4,4,0,0,0,4,1,1,0
2023,68896,이채호,KT,,1,0,0,0,0,0,0,0,0,0,0,0
2023,68504,이호연,KT,0.278,85,234,212,28,59,5,1,3,75,17,1,1
2023,78548,장성우,KT,0.288,131,464,410,37,118,22,0,11,173,65,3,7
2023,64115,장준원,KT,0.172,69,104,87,10,15,2,1,1,22,10,3,1
2023,53058,정준영,KT,0.292,34,55,48,6,14,2,0,0,16,6,4,0
2023,64868,조용호,KT,0.248,63,184,161,20,40,2,0,0,42,7,0,0
2023,78517,하준호,KT,,1,0,0,0,0,0,0,0,0,0,0,0
2023,67005,홍현빈,KT,0.233,44,86,73,15,17,2,0,0,19,1,0,0
2023,76313,황재균,KT,0.295,109,457,407,62,120,26,2,6,168,49,3,1
2023,67119,고우석,LG,,1,0,0,0,0,0,0,0,0,0,0,0
2023,66112,김기연,LG,0.118,28,40,34,3,4,0,0,0,4,2,1,0
2023,66145,김대현,LG,,2,0,0,0,0,0,0,0,0,0,0,0
2023,77564,김민성,LG,0.249,112,316,273,34,68,11,0,8,103,41,9,2
2023,53144,김범석,LG,0.111,10,29,27,3,3,1,0,1,7,4,0,1
2023,66162,김주성,LG,0.2,11,7,5,1,1,0,0,0,1,0,0,0
2023,76290,김현수,LG,0.293,133,556,488,53,143,22,2,6,187,88,1,8
2023,69102,문보경,LG,0.301,131,542,469,77,141,29,5,10,210,72,9,4
2023,68119,문성주,LG,0.294,136,534,449,77,132,21,4,2,167,57,6,4
2023,79365,박동원,LG,0.249,130,481,409,54,102,17,1,20,181,75,8,8
2023,53139,박명근,LG,,2,0,0,0,0,0,0,0,0,0,0,0
2023,62415,박해민,LG,0.285,144,558,485,80,138,14,2,6,174,59,24,1
2023,78168,서건창,LG,0.2,44,126,110,14,22,5,2,0,31,12,3,3
2023,50150,손호영,LG,0.205,27,45,44,8,9,0,0,1,12,6,0,0
2023,53105,송대현,LG,0,4,3,3,0,0,0,0,0,0,0,0,0
2023,68110,송찬의,LG,0.056,19,22,18,2,1,1,0,0,2,1,0,0
2023,65207,신민재,LG,0.277,122,331,282,47,78,5,2,0,87,28,17,2
2023,65115,안익훈,LG,0.318,11,23,22,1,7,1,0,0,8,2,0,0
2023,67116,오석주,LG,,1,0,0,0,0,0,0,0,0,0,0,0
2023,53123,오스틴,LG,0.313,139,583,520,87,163,29,4,23,269,95,0,7
2023,79109,오지환,LG,0.268,126,502,422,65,113,24,3,8,167,62,4,4
2023,68106,이재원,LG,0.214,57,129,112,15,24,5,0,4,41,18,0,3
2023,69134,이정용,LG,,1,0,0,0,0,0,0,0,0,0,0,0
2023,61186,이천웅,LG,1,4,3,3,0,3,0,0,0,3,1,0,0
2023,67123,전준호,LG,0,2,1,1,0,0,0,0,0,0,1,0,0
2023,79150,정주현,LG,0.273,89,101,88,17,24,2,0,1,29,12,2,1
2023,79140,최동환,LG,,3,0,0,0,0,0,0,0,0,0,0,0
2023,65905,최승민,LG,0.071,38,15,14,10,1,0,0,0,1,1,0,0
2023,77243,허도환,LG,0.141,47,81,64,8,9,3,0,2,18,10,7,1
2023,66108,홍창기,LG,0.332,141,643,524,109,174,35,2,1,216,65,3,6
2023,69517,고승민,롯데,0.224,94,308,255,35,57,14,2,2,81,24,6,4
2023,53506,구드럼,롯데,0.295,50,201,173,16,51,14,1,0,67,28,0,4
2023,79290,국해성,롯데,0.25,6,10,8,0,2,0,0,0,2,1,0,0
2023,52504,김동혁,롯데,0,15,9,7,3,0,0,0,0,0,0,0,0
2023,53554,김민석,롯데,0.255,129,454,400,53,102,24,0,3,135,39,12,5
2023,67504,김민수,롯데,0.209,25,51,43,4,9,1,1,0,12,2,1,0
2023,76430,김상수,롯데,,1,0,0,0,0,0,0,0,0,0,0,0
2023,62528,김원중,롯데,,3,0,0,0,0,0,0,0,0,0,0,0
2023,62931,노진혁,롯데,0.257,113,390,334,43,86,26,1,4,126,51,4,4
2023,52547,렉스,롯데,0.246,55,234,203,20,50,4,2,4,70,30,0,2
2023,62802,박승욱,롯데,0.286,123,338,290,37,83,18,3,0,107,30,11,1
2023,51803,박형준,롯데,0,1,1,1,0,0,0,0,0,0,0,0,0
2023,53587,배영빈,롯데,0.313,18,18,16,2,5,2,0,0,7,0,1,0
2023,53569,서동욱,롯데,0.118,13,20,17,2,2,1,0,0,3,0,0,0
2023,51528,손성빈,롯데,0.263,45,80,76,13,20,3,0,1,26,15,2,0
2023,69508,신윤후,롯데,0.04,28,27,25,2,1,0,0,0,1,1,0,0
2023,50202,안권수,롯데,0.269,95,309,268,42,72,6,1,2,86,29,7,3
2023,79608,안치홍,롯데,0.292,121,494,425,57,124,20,1,8,170,63,5,5
2023,61102,유강남,롯데,0.261,121,403,352,45,92,13,0,10,135,55,2,4
2023,52591,윤동희,롯데,0.287,107,423,387,45,111,18,1,2,137,41,2,5
2023,53505,윤수녕,롯데,0.25,3,4,4,0,1,0,0,0,1,1,0,0
2023,67644,이정훈,롯데,0.296,59,171,152,17,45,7,0,1,55,17,0,3
2023,69453,이학주,롯데,0.209,104,122,110,22,23,2,0,3,34,13,0,0
2023,68507,장두성,롯데,0.154,25,15,13,7,2,0,0,0,2,1,1,0
2023,78513,전준우,롯데,0.312,138,559,493,80,154,21,3,17,232,77,0,7
2023,53568,정대선,롯데,0.15,19,47,40,5,6,1,0,0,7,6,1,2
2023,68518,정보근,롯데,0.333,55,101,81,11,27,6,1,1,38,13,4,1
2023,60523,정훈,롯데,0.279,80,233,201,40,56,14,0,6,88,31,4,2
2023,64717,지시완,롯데,0.125,6,10,8,0,1,0,0,0,1,0,2,0
2023,64718,최설우,롯데,,1,0,0,0,0,0,0,0,0,0,0,0
2023,68525,한동희,롯데,0.223,108,353,319,30,71,11,0,5,97,32,2,5
2023,50500,황성빈,롯데,0.212,74,191,170,22,36,5,2,0,45,8,8,0
2023,63963,권희동,NC,0.285,96,373,309,33,88,16,0,7,125,63,4,5
2023,62934,김성욱,NC,0.223,93,204,179,28,40,10,0,6,68,16,3,1
2023,67900,김수윤,NC,0.214,16,15,14,0,3,0,0,0,3,2,0,0
2023,68928,김시훈,NC,,1,0,0,0,0,0,0,0,0,0,0,0
2023,51907,김주원,NC,0.233,127,474,403,56,94,9,2,10,137,54,8,4
2023,50902,김한별,NC,0.216,79,105,97,8,21,0,1,0,23,4,2,0
2023,68912,김형준,NC,0.236,26,82,72,10,17,2,0,6,37,13,1,0
2023,66965,도태훈,NC,0.234,117,302,239,41,56,6,0,5,77,23,7,1
2023,65949,류진욱,NC,,2,0,0,0,0,0,0,0,0,0,0,0
2023,53955,마틴,NC,0.283,118,503,435,55,123,20,2,17,198,90,0,10
2023,79215,박건우,NC,0.319,130,533,458,70,146,34,2,12,220,85,1,9
2023,64944,박대온,NC,0.286,25,33,28,6,8,3,0,0,11,3,0,1
2023,62907,박민우,NC,0.316,124,509,452,76,143,20,7,2,183,46,5,3
2023,74465,박석민,NC,0.193,30,107,88,9,17,1,0,1,21,8,1,1
2023,62244,박세혁,NC,0.211,88,283,242,35,51,9,3,6,84,32,6,1
2023,50906,박영빈,NC,0.071,41,17,14,11,1,1,0,0,2,0,2,0
2023,69900,박주찬,NC,0.143,5,14,14,1,2,0,0,0,2,0,0,0
2023,53992,박한결,NC,0.333,12,18,15,3,5,1,0,1,9,5,0,0
2023,69995,서호철,NC,0.287,114,435,397,50,114,17,3,5,152,41,6,4
2023,77532,손아섭,NC,0.339,140,609,551,97,187,36,3,5,244,65,1,5
2023,64022,안중열,NC,0.195,77,177,154,15,30,6,0,4,48,17,3,2
2023,68904,오영수,NC,0.236,70,238,208,21,49,9,1,4,72,24,5,3
2023,51991,오장한,NC,0.143,3,8,7,2,1,0,0,0,1,0,0,0
2023,51996,오태양,NC,0,21,3,3,4,0,0,0,0,0,0,0,0
2023,63905,윤형준,NC,0.252,82,236,218,17,55,12,1,5,84,27,2,3
2023,77211,이용찬,NC,,2,0,0,0,0,0,0,0,0,0,0,0
2023,69969,전사민,NC,0,1,1,1,0,0,0,0,0,0,0,0,0
2023,51701,조현진,NC,0.2,10,5,5,0,1,0,0,0,1,0,0,0
2023,65241,채원후,NC,,1,0,0,0,0,0,0,0,0,0,0,0
2023,67905,천재환,NC,0.239,78,179,163,12,39,7,1,2,54,17,2,2
2023,68909,최보성,NC,0.263,12,21,19,2,5,0,0,0,5,0,0,0
2023,69992,최정원,NC,0.26,39,56,50,12,13,3,2,0,20,5,2,0
2023,64101,한석현,NC,0.2,27,66,60,5,12,1,0,0,13,2,2,0
2023,51994,한재승,NC,,1,0,0,0,0,0,0,0,0,0,0,0
2023,74540,강민호,삼성,0.29,125,495,434,60,126,19,0,16,193,77,1,5
2023,53460,강준서,삼성,0.214,10,15,14,2,3,1,0,0,4,0,0,0
2023,64610,강한울,삼성,0.217,72,240,212,30,46,7,2,0,57,10,6,2
2023,68407,공민규,삼성,0.194,22,33,31,0,6,1,1,0,9,2,0,0
2023,62404,구자욱,삼성,0.336,119,515,453,65,152,37,1,11,224,71,2,3
2023,61365,김대우,삼성,,1,0,0,0,0,0,0,0,0,0,0,0
2023,69442,김도환,삼성,0.143,9,8,7,0,1,0,0,0,1,0,0,0
2023,66838,김동엽,삼성,0.255,69,182,165,20,42,7,0,5,64,18,0,2
2023,51403,김동진,삼성,0.262,44,137,122,14,32,7,0,0,39,8,3,2
2023,64793,김민수,삼성,0,2,1,1,0,0,0,0,0,0,0,0,0
2023,52402,김상민,삼성,0.083,8,13,12,3,1,0,0,0,1,0,0,0
2023,52460,김서준,삼성,,1,0,0,0,0,0,0,0,0,0,0,0
2023,67449,김성윤,삼성,0.314,101,272,245,40,77,4,6,2,99,28,4,5
2023,52430,김영웅,삼성,0.187,55,103,91,11,17,6,0,2,29,12,3,1
2023,53400,김재상,삼성,0.15,17,22,20,1,3,0,0,1,6,2,0,0
