연도,선수_ID,선수명,포지션,데이터유무
2021,77532,손아섭,타자,O
2021,54156,손용준,타자,X
2021,63914,손정욱,타자,X
2021,67143,손주영,투수,O
2021,54904,손주환,투수,X
2021,54363,손현기,투수,X
2021,50150,손호영,타자,O
2021,55300,손힘찬,투수,X
2021,53105,송대현,타자,X
2021,69962,송명기,투수,O
2021,64012,송민섭,타자,O
2021,65357,송성문,타자,O
2021,51111,송승기,투수,X
2021,69203,송승환,타자,X
2021,53898,송영진,투수,X
2021,61156,송윤준,투수,O
2021,73801,송은범,투수,O
2021,53303,송재선,타자,X
2021,51594,송재영,투수,O
2021,52391,송정인,투수,X
2021,64469,송준석,타자,O
2021,54394,송지후,타자,X
2021,68110,송찬의,타자,X
2021,51767,송호정,타자,O
2021,67606,송후섭,투수,X
2021,51136,수아레즈,투수,O
2021,52457,수아레즈,투수,X
2021,53040,슐서,투수,X
2021,51334,스미스,투수,O
2021,53734,스미스,투수,X
2021,54615,스타우트,투수,X
2021,52234,스탁,투수,X
2021,55326,스톤,타자,X
2021,50558,스트레일리,투수,O
2021,55013,스티븐슨,타자,X
2021,52557,스파크맨,투수,X
2021,54843,시라카와,투수,X
2021,65207,신민재,타자,O
2021,68902,신민혁,투수,O
2021,66662,신범수,타자,X
2021,62556,신본기,타자,O
2021,64086,신성현,타자,O
2021,53919,신영우,투수,X
2021,53991,신용석,타자,X
2021,69508,신윤후,타자,O
2021,62937,신재영,투수,O
2021,75138,신재웅,타자,X
2021,60140,신정락,투수,O
2021,50312,신준우,타자,O
2021,55860,신지환,투수,X
2021,50758,신지후,투수,O
2021,52873,신헌민,투수,X
2021,64006,심우준,타자,O
2021,64017,심재민,투수,O
2021,55438,심재훈,타자,X
2021,61411,심창민,투수,O
2021,54306,심휘윤,타자,X
2021,50202,안권수,타자,O
2021,66864,안상현,타자,O
2021,64011,안승한,타자,X
2021,73738,안영명,투수,O
2021,68341,안우진,투수,O
2021,65115,안익훈,타자,O
2021,50901,안인산,타자,X
2021,51203,안재석,타자,O
2021,66406,안주형,타자,X
2021,64022,안중열,타자,O
2021,67006,안치영,타자,X
2021,79608,안치홍,타자,O
2021,52001,안현민,타자,X
2021,54664,알드레드,투수,X
2021,69045,알칸타라,투수,X
2021,50923,알테어,타자,O
2021,52009,알포드,타자,X
2021,52308,애플러,투수,X
2021,53664,앤더슨,투수,X
2021,54833,앤더슨,투수,X
2021,54408,양도근,타자,X
2021,64153,양석환,타자,O
2021,50813,양선률,투수,O
2021,68002,양승혁,타자,X
2021,69403,양우현,타자,X
2021,76232,양의지,타자,O
2021,55215,양재훈,투수,X
2021,67365,양지율,투수,X
2021,50293,양찬열,타자,X
2021,68415,양창섭,투수,O
2021,61268,양현,투수,O
2021,55370,양현종,타자,X
2021,77637,양현종,투수,X
2021,55392,어준서,타자,X
2021,65056,엄상백,투수,O
2021,53827,에레디아,타자,X
2021,54119,에르난데스,투수,X
2021,54134,엔스,투수,X
2021,53825,엘리아스,투수,X
2021,54205,여동건,타자,X
2021,55393,여동욱,타자,X
2021,55339,염승원,타자,X
2021,68330,예진원,타자,O
2021,53712,오그레디,타자,X
2021,50208,오명진,타자,O
2021,53300,오상원,투수,X
2021,55005,오서진,타자,X
2021,67116,오석주,투수,O
2021,69636,오선우,타자,O
2021,78756,오선진,타자,O
2021,53123,오스틴,타자,X
2021,75421,오승환,투수,O
2021,68904,오영수,타자,X
2021,50859,오원석,투수,O
2021,64504,오윤석,타자,O
2021,51991,오장한,타자,O
2021,77248,오재원,타자,O
2021,75334,오재일,타자,O
2021,68614,오정환,타자,O
2021,74359,오주원,타자,X
2021,61743,오준혁,타자,O
2021,79109,오지환,타자,O
2021,60558,오태곤,타자,O
2021,51996,오태양,타자,O
2021,79293,오현택,투수,O
2021,55633,올러,투수,X
2021,53927,와이드너,투수,X
2021,54755,와이스,투수,X
2021,69343,요키시,투수,O
2021,51526,우강훈,투수,X
2021,73117,우규민,투수,O
2021,54063,원상현,투수,X
2021,54307,원성준,타자,X
2021,54702,원종혁,투수,X
2021,76118,원종현,투수,O
2021,69446,원태인,투수,O
2021,67760,원혁재,타자,X
2021,55348,웰스,투수,X
2021,55645,위즈덤,타자,X
2021,53716,윌리엄스,타자,X
2021,53546,윌커슨,투수,X
2021,61102,유강남,타자,O
2021,69766,유로결,타자,O
2021,62265,유민상,타자,O
2021,52705,유상빈,타자,X
2021,64890,유서준,타자,O
2021,67640,유승철,투수,X
2021,50106,유영찬,투수,X
2021,76757,유원상,투수,O
2021,66160,유재유,투수,O
2021,51013,유준규,타자,X
2021,50604,유지성,투수,X
2021,74339,유한준,타자,O
2021,79229,유희관,투수,O
2021,54404,육선엽,투수,X
2021,54064,육청명,투수,X
2021,63464,윤대경,투수,O
2021,52667,윤도현,타자,X
2021,52591,윤동희,타자,X
2021,62242,윤명준,투수,O
2021,69213,윤산흠,투수,O
2021,52395,윤석원,투수,X
2021,67588,윤성빈,투수,O
2021,53505,윤수녕,타자,X
2021,53613,윤영철,투수,X
2021,68463,윤정빈,타자,X
2021,69399,윤정현,투수,O
2021,50092,윤준혁,타자,X
2021,53296,윤준호,타자,X
2021,68619,윤중현,투수,O
2021,52867,윤태현,투수,X
2021,52202,윤태호,투수,X
2021,55396,윤현,투수,X
2021,63905,윤형준,타자,O
2021,63961,윤호솔,투수,O
2021,50036,이강준,투수,O
2021,64861,이건욱,투수,O
2021,69205,이교훈,투수,O
2021,52868,이기순,투수,X
2021,67008,이대은,투수,O
2021,71564,이대호,타자,O
2021,65703,이도윤,타자,O
2021,53615,이도현,투수,X
2021,53892,이로운,투수,X
2021,69366,이명기,타자,O
2021,76849,이명기,타자,O
2021,52397,이명종,투수,X
2021,52530,이민석,투수,X
2021,65616,이민우,투수,O
2021,55710,이민재,타자,X
2021,53795,이민준,타자,X
2021,50126,이민호,투수,O
2021,51110,이믿음,투수,X
2021,67363,이병규,타자,X
2021,76100,이병규,타자,O
2021,52204,이병헌,투수,X
2021,69428,이병헌,타자,X
2021,75342,이보근,투수,O
2021,65117,이상규,투수,O
2021,69054,이상동,투수,O
2021,63960,이상민,투수,O
2021,69168,이상영,투수,O
2021,52063,이상우,투수,X
2021,52704,이상혁,타자,X
2021,60566,이상호,타자,O
2021,54595,이선우,타자,X
2021,55224,이선우,타자,X
2021,69068,이선우,투수,X
2021,64266,이성곤,타자,O
2021,66409,이성규,타자,X
2021,73136,이성열,타자,O
2021,71184,이성우,타자,O
2021,55632,이성원,투수,X
2021,64464,이수민,투수,X
2021,68797,이승관,투수,O
2021,50464,이승민,투수,O
2021,54806,이승민,타자,X
2021,53302,이승원,타자,X
2021,51668,이승재,투수,O
2021,64805,이승진,투수,O
2021,68529,이승헌,투수,O
2021,68910,이승헌,투수,O
2021,51454,이승현,투수,O
2021,55712,이승현,타자,X
2021,60146,이승현,투수,O
2021,67603,이승호,투수,O
2021,66702,이시원,타자,O
2021,51100,이영빈,타자,O
2021,55503,이영재,투수,X
2021,64051,이영준,투수,X
2021,66291,이영하,투수,O
2021,74163,이용규,타자,O
2021,51948,이용준,투수,O
2021,77211,이용찬,투수,O
2021,65964,이우석,투수,O
2021,63260,이우성,타자,O
2021,61145,이우찬,투수,O
2021,68700,이원석,타자,O
2021,75566,이원석,타자,O
2021,52295,이원재,투수,X
2021,62025,이원재,타자,O
2021,67207,이유찬,타자,X
2021,55832,이율예,타자,X
2021,51648,이의리,투수,O
2021,64565,이인복,투수,O
2021,50608,이인한,타자,X
2021,52715,이재민,투수,X
2021,54305,이재상,타자,X
2021,67993,이재용,타자,X
2021,68106,이재원,타자,O
2021,76812,이재원,타자,O
2021,66968,이재율,타자,O
2021,63492,이재익,투수,O
2021,60263,이재학,투수,O
2021,52415,이재현,타자,X
2021,51307,이재홍,타자,X
2021,51460,이재희,투수,O
2021,67807,이정범,타자,O
2021,69134,이정용,투수,O
2021,67048,이정현,투수,O
2021,67341,이정후,타자,O
2021,67644,이정훈,타자,O
2021,50354,이종민,투수,O
2021,50904,이종준,투수,X
2021,51560,이주찬,타자,O
2021,52154,이주헌,타자,X
2021,50167,이주형,타자,O
2021,51302,이주형,타자,O
2021,65665,이준영,투수,O
2021,55301,이준우,투수,X
2021,52992,이준혁,투수,X
2021,53996,이준호,투수,X
2021,69108,이지강,투수,X
2021,79456,이지영,타자,O
2021,66657,이진영,타자,O
2021,53562,이진하,투수,X
2021,67164,이찬혁,투수,O
2021,51407,이창용,타자,X
2021,65057,이창재,투수,O
2021,64560,이창진,타자,O
2021,68896,이채호,투수,O
2021,61186,이천웅,타자,O
2021,63749,이충호,투수,O
2021,55511,이태경,타자,X
2021,60768,이태양,투수,O
2021,53594,이태연,투수,X
2021,68466,이태훈,타자,O
2021,69453,이학주,타자,O
2021,69416,이해승,타자,X
2021,60343,이해창,타자,O
2021,65869,이현석,타자,O
2021,76329,이현승,투수,O
2021,62951,이형범,투수,O
2021,78135,이형종,타자,O
2021,55663,이호민,투수,X
2021,53455,이호성,투수,X
2021,68504,이호연,타자,O
2021,54598,이호준,타자,X
2021,63634,이홍구,타자,O
2021,63440,이흥련,타자,O
2021,65398,임규빈,타자,X
2021,52807,임근우,타자,X
2021,62754,임기영,투수,O
2021,66493,임대한,투수,X
2021,64346,임병욱,타자,X
2021,54900,임상현,투수,X
2021,66833,임석진,타자,X
2021,63959,임정호,투수,O
2021,54236,임종성,타자,X
2021,50704,임종찬,타자,O
2021,62611,임준섭,투수,O
2021,69113,임준형,투수,O
2021,52902,임지민,투수,X
2021,64340,임지열,타자,O
2021,55382,임진묵,투수,X
2021,61101,임찬규,투수,O
2021,78352,임창민,투수,O
2021,50244,장규빈,타자,X
2021,51762,장규현,타자,O
2021,68507,장두성,타자,O
2021,51665,장민기,투수,O
2021,79764,장민재,투수,O
2021,78548,장성우,타자,O
2021,53596,장세진,투수,X
2021,63202,장승현,타자,O
2021,77318,장시환,투수,O
2021,63700,장운호,타자,O
2021,50706,장웅정,투수,O
2021,74513,장원준,투수,O
2021,51359,장재영,타자,X
2021,50641,장재혁,투수,X
2021,64115,장준원,타자,O
2021,69645,장지수,투수,O
2021,51706,장지승,타자,O
2021,51895,장지훈,투수,O
2021,66706,장진혁,타자,X
2021,77927,장필준,투수,O
2021,63950,장현식,투수,O
2021,55239,잭로그,투수,X
2021,68869,전경원,타자,X
2021,54214,전다민,타자,X
2021,69204,전루건,투수,X
2021,78361,전민수,타자,O
2021,68205,전민재,타자,O
2021,65586,전병우,타자,O
2021,69969,전사민,투수,X
2021,66609,전상현,투수,O
2021,52809,전영준,투수,X
2021,69047,전용주,투수,X
2021,75340,전유수,투수,O
2021,50820,전의산,타자,X
2021,78513,전준우,타자,O
2021,54362,전준표,투수,X
2021,67123,전준호,투수,X
2021,51009,전진영,타자,X
2021,55397,전태현,타자,X
2021,50995,정구범,투수,X
2021,53568,정대선,타자,X
2021,66858,정동윤,투수,O
2021,51764,정민규,타자,O
2021,54467,정민성,투수,X
2021,76720,정범모,타자,O
2021,68518,정보근,타자,O
2021,71842,정상호,타자,O
2021,65058,정성곤,투수,X
2021,68556,정성종,투수,O
2021,55377,정세영,투수,X
2021,66960,정수민,투수,O
2021,79231,정수빈,타자,O
2021,62056,정영일,투수,O
2021,74857,정우람,타자,X
2021,69159,정우영,투수,O
2021,55743,정우주,투수,X
2021,51546,정우준,투수,O
2021,68743,정은원,타자,O
2021,75151,정의윤,타자,O
2021,79440,정인욱,투수,O
2021,79150,정주현,타자,O
2021,53058,정준영,타자,X
2021,54812,정준재,타자,X
2021,54149,정지헌,투수,X
2021,61869,정진기,타자,O
2021,61208,정진호,타자,O
2021,78148,정찬헌,타자,X
2021,68242,정철원,투수,X
2021,50662,정해영,투수,O
2021,53659,정해원,타자,X
2021,63450,정현,타자,O
2021,54537,정현수,투수,X
2021,54815,정현승,타자,X
2021,55313,정현우,투수,X
2021,55926,정현창,타자,X
2021,60523,정훈,타자,O
2021,54295,제러드,타자,X
2021,50211,제환유,투수,X
2021,68089,조대현,타자,X
2021,54768,조동욱,투수,X
2021,65067,조무근,타자,X
2021,52903,조민석,투수,X
2021,52405,조민성,타자,X
2021,51897,조병현,투수,O
2021,63342,조상우,투수,O
2021,68848,조성훈,투수,X
2021,52516,조세진,타자,X
2021,66209,조수행,타자,O
2021,69360,조영건,투수,O
2021,51809,조요한,투수,O
2021,64868,조용호,타자,O
2021,52149,조원태,투수,X
2021,64768,조이현,투수,O
2021,50296,조제영,투수,O
2021,69705,조한민,타자,O
2021,64047,조현우,투수,O
2021,51701,조현진,타자,X
2021,51865,조형우,타자,X
2021,65060,주권,투수,O
2021,69332,주성원,타자,X
2021,52330,주승우,투수,X
2021,65707,주현상,투수,O
2021,66354,주효상,타자,X
2021,51060,지명성,투수,O
2021,73306,지석훈,타자,O
2021,64717,지시완,타자,O
2021,79545,진명호,투수,O
2021,52558,진승현,투수,X
2021,54148,진우영,투수,X
2021,76650,진해수,투수,O
2021,64615,차명진,투수,O
