game_id,player_id,일자,상대,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
20220708SKSS0,74540,2022-07-08,SSG,-,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.224
20220709SKSS0,74540,2022-07-09,SSG,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.223
20220701SKSS0,74540,2022-07-01,SSG,0.000,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0.221
20220712KTSS0,74540,2022-07-12,KT,0.333,4,3,0,1,0,0,0,0,0,0,1,0,1,0,0.223
20220714KTSS0,74540,2022-07-14,KT,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.22
20220722WOSS0,74540,2022-07-22,키움,0.250,5,4,0,1,1,0,0,1,0,0,1,0,0,0,0.22
20220723WOSS0,74540,2022-07-23,키움,0.333,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0.222
20220724WOSS0,74540,2022-07-24,키움,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.218
20220726HHSS0,74540,2022-07-26,한화,1.000,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0.221
20220727HHSS0,74540,2022-07-27,한화,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221
20220728HHSS0,74540,2022-07-28,한화,0.000,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0.218
20220729LTSS0,74540,2022-07-29,롯데,0.600,5,5,2,3,0,0,1,4,0,0,0,0,1,0,0.225
20220703LTSS0,74540,2022-07-03,롯데,0.600,5,5,1,3,0,0,1,3,0,0,0,0,0,0,0.233
20220731LTSS0,74540,2022-07-31,롯데,0.167,6,6,0,1,0,0,0,0,0,0,0,0,3,0,0.231
20220803OBSS0,74540,2022-08-03,두산,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.23
20220804OBSS0,74540,2022-08-04,두산,0.000,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0.228
20220805SKSS0,74540,2022-08-05,SSG,0.500,4,2,0,1,0,0,0,1,0,0,2,0,0,0,0.23
20220806SKSS0,74540,2022-08-06,SSG,0.200,5,5,1,1,0,0,1,3,0,0,0,0,0,0,0.229
20220807SKSS0,74540,2022-08-07,SSG,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.228
20220812HTSS0,74540,2022-08-12,KIA,0.333,4,3,0,1,1,0,0,0,0,0,1,0,0,0,0.23
20220813KTSS0,74540,2022-08-13,KT,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.228
20220814KTSS0,74540,2022-08-14,KT,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.225
20220816LGSS0,74540,2022-08-16,LG,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.225
20220817LGSS0,74540,2022-08-17,LG,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.224
20220818HHSS0,74540,2022-08-18,한화,0.500,4,4,1,2,0,0,1,3,0,0,0,0,0,0,0.228
20220819HHSS0,74540,2022-08-19,한화,0.333,4,3,1,1,0,0,1,2,0,0,1,0,0,0,0.229
20220821NCSS0,74540,2022-08-21,NC,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.227
20220823SKSS0,74540,2022-08-23,SSG,0.500,2,2,1,1,0,0,1,1,0,0,0,0,0,0,0.229
20220824SKSS0,74540,2022-08-24,SSG,0.250,4,4,1,1,0,0,0,1,0,0,0,0,1,0,0.229
20220825LTSS0,74540,2022-08-25,롯데,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.226
20220826LTSS0,74540,2022-08-26,롯데,1.000,4,2,1,2,0,0,1,1,0,0,2,0,0,0,0.232
20220827HHSS0,74540,2022-08-27,한화,0.333,4,3,1,1,1,0,0,1,0,0,1,0,1,0,0.233
20220828HHSS0,74540,2022-08-28,한화,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.233
20220831SKSS0,74540,2022-08-31,SSG,1.000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.235
20220901HTSS0,74540,2022-09-01,KIA,0.500,5,2,1,1,1,0,0,0,0,0,2,1,1,0,0.237
20220902HTSS0,74540,2022-09-02,KIA,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.236
20220903OBSS0,74540,2022-09-03,두산,0.500,4,4,1,2,0,0,0,1,0,0,0,0,0,0,0.24
20220906WOSS0,74540,2022-09-06,키움,0.500,4,4,1,2,0,0,1,1,0,0,0,0,0,1,0.243
20220907WOSS0,74540,2022-09-07,키움,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.243
20220908LTSS0,74540,2022-09-08,롯데,0.000,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0.241
20220909LTSS0,74540,2022-09-09,롯데,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0.238
20220901LGSS0,74540,2022-09-01,LG,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.237
20220911LGSS0,74540,2022-09-11,LG,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.235
20220913NCSS0,74540,2022-09-13,NC,1.000,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0.237
20220914NCSS0,74540,2022-09-14,NC,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.236
20220915OBSS0,74540,2022-09-15,두산,0.600,5,5,2,3,1,0,0,0,0,0,0,0,1,0,0.241
20220916OBSS0,74540,2022-09-16,두산,0.667,3,3,2,2,0,0,2,5,0,0,0,0,0,0,0.245
20220917HTSS0,74540,2022-09-17,KIA,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.243
20220918HTSS0,74540,2022-09-18,KIA,1.000,2,2,1,2,1,0,0,1,0,0,0,0,0,0,0.247
20220902WOSS0,74540,2022-09-02,키움,0.000,4,3,1,0,0,0,0,0,0,0,1,0,1,0,0.245
20220921WOSS0,74540,2022-09-21,키움,0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0.246
20220922KTSS0,74540,2022-09-22,KT,0.667,3,3,1,2,0,0,0,1,0,0,0,0,0,0,0.249
20220923KTSS0,74540,2022-09-23,KT,0.750,4,4,0,3,0,0,0,1,0,0,0,0,1,0,0.255
20220925HTSS0,74540,2022-09-25,KIA,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,1,0.255
20220928NCSS0,74540,2022-09-28,NC,0.750,4,4,1,3,2,0,1,1,0,0,0,0,0,0,0.26
20220929NCSS0,74540,2022-09-29,NC,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0.258
20220903OBSS0,74540,2022-09-03,두산,0.250,4,4,0,1,0,0,0,1,0,0,0,0,0,1,0.258
20221001OBSS0,74540,2022-10-01,두산,0.333,4,3,0,1,0,0,0,1,0,0,1,0,0,0,0.259
20221004KTSS0,74540,2022-10-04,KT,0.333,4,3,0,1,1,0,0,1,0,0,1,0,1,1,0.259
