Name,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F
김재윤,66.0,6.95,3.41,2.04,1.77,18.00%,8.80%,9.20%,0.225,1.26,0.232,71.40%,4.09,5.95,-1.86
전상현,66.0,7.36,2.73,2.7,0.68,19.90%,7.40%,12.50%,0.223,1.14,0.266,65.80%,4.09,4.23,-0.14
양현종,171.1,6.78,2.15,3.15,1.1,17.70%,5.60%,12.10%,0.256,1.25,0.289,70.50%,4.1,4.66,-0.56
쿠에바스,173.1,8.0,3.06,2.61,0.88,20.90%,8.00%,12.90%,0.235,1.25,0.282,68.90%,4.1,4.39,-0.29
김상수,73.2,6.84,3.18,2.15,0.61,17.40%,8.10%,9.30%,0.244,1.32,0.287,65.30%,4.15,4.37,-0.22
엔스,167.2,8.43,2.68,3.14,0.86,22.00%,7.00%,15.00%,0.257,1.31,0.315,69.60%,4.19,4.12,0.07
윤영철,81.2,6.39,4.74,1.35,0.88,16.00%,11.90%,4.10%,0.258,1.53,0.294,71.40%,4.19,5.22,-1.03
산체스,53.1,9.45,3.54,2.67,0.34,22.90%,8.60%,14.30%,0.28,1.52,0.372,71.40%,4.22,3.88,0.34
이승현,87.1,7.01,3.81,1.84,0.93,17.70%,9.60%,8.10%,0.258,1.43,0.299,73.50%,4.23,5.01,-0.78
곽빈,167.2,8.27,4.08,2.03,0.59,21.50%,10.60%,10.90%,0.224,1.3,0.279,67.60%,4.24,4.23,0.01
최원태,126.2,7.32,4.05,1.81,0.71,18.60%,10.30%,8.30%,0.256,1.44,0.306,70.10%,4.26,4.62,-0.35
발라조빅,57.0,10.89,4.42,2.46,0.47,27.60%,11.20%,16.40%,0.245,1.44,0.345,68.90%,4.26,3.59,0.67
김민,77.1,8.96,3.14,2.85,0.58,22.90%,8.00%,14.90%,0.274,1.44,0.351,70.80%,4.31,3.72,0.58
신민혁,121.0,5.5,1.19,4.63,1.49,14.10%,3.10%,11.10%,0.279,1.29,0.295,71.10%,4.31,5.25,-0.93
카스타노,111.2,7.17,2.01,3.56,0.89,18.70%,5.30%,13.40%,0.264,1.27,0.308,62.90%,4.35,4.3,0.06
주승우,51.2,7.49,3.14,2.39,0.7,19.10%,8.00%,11.10%,0.248,1.32,0.297,71.20%,4.35,4.43,-0.07
하영민,150.1,6.05,3.47,1.74,0.48,15.10%,8.60%,6.40%,0.276,1.5,0.321,67.80%,4.37,4.35,0.02
임정호,55.0,7.53,4.09,1.84,0.49,18.90%,10.30%,8.60%,0.251,1.44,0.307,64.30%,4.42,4.31,0.11
황동하,103.1,7.05,3.83,1.84,1.13,17.50%,9.50%,8.00%,0.265,1.48,0.302,67.90%,4.44,5.33,-0.88
이승현,60.1,7.61,3.43,2.22,0.9,19.20%,8.70%,10.60%,0.285,1.51,0.341,73.60%,4.48,4.64,-0.17
문승원,60.0,7.95,3.6,2.21,1.5,20.00%,9.10%,10.90%,0.279,1.52,0.322,75.60%,4.5,5.4,-0.9
켈리,113.2,5.46,1.98,2.76,1.03,13.90%,5.10%,8.90%,0.282,1.37,0.309,67.50%,4.51,4.84,-0.33
김시훈,107.1,6.2,4.95,1.25,0.59,15.50%,12.40%,3.10%,0.265,1.57,0.308,69.10%,4.53,4.95,-0.42
이지강,53.2,6.54,4.36,1.5,0.84,15.60%,10.40%,5.20%,0.275,1.62,0.315,65.90%,4.53,5.07,-0.54
박상원,66.2,8.78,2.97,2.95,0.27,23.40%,7.90%,15.50%,0.229,1.19,0.302,57.70%,4.59,3.49,1.1
벤자민,149.2,9.38,2.89,3.25,1.68,24.40%,7.50%,16.90%,0.24,1.26,0.28,67.00%,4.63,5.14,-0.51
알칸타라,64.1,4.76,3.08,1.55,1.4,12.60%,8.10%,4.40%,0.236,1.24,0.238,69.10%,4.76,5.83,-1.08
박세웅,173.1,6.44,2.91,2.21,0.68,16.30%,7.40%,9.00%,0.272,1.41,0.315,64.20%,4.78,4.45,0.32
구승민,57.2,9.68,5.46,1.77,0.94,22.20%,12.50%,9.70%,0.286,1.79,0.365,71.60%,4.84,5.08,-0.25
엄상백,156.2,9.13,2.41,3.79,1.49,23.60%,6.20%,17.30%,0.262,1.31,0.313,70.80%,4.88,4.82,0.07
오승환,55.0,6.87,2.95,2.33,1.47,16.00%,6.90%,9.20%,0.311,1.69,0.347,71.90%,4.91,5.49,-0.59
김이환,75.0,7.08,3.72,1.9,1.08,17.10%,9.00%,8.10%,0.285,1.57,0.329,71.70%,4.92,5.34,-0.42
김광현,162.1,8.54,4.05,2.11,1.33,21.70%,10.30%,11.40%,0.257,1.45,0.305,70.40%,4.93,5.23,-0.3
고영표,100.0,7.11,1.26,5.64,0.54,17.30%,3.10%,14.30%,0.327,1.55,0.39,66.60%,4.95,3.7,1.25
한두솔,59.1,10.31,4.7,2.19,0.46,24.90%,11.40%,13.60%,0.259,1.57,0.351,61.00%,5.01,3.83,1.17
한승혁,62.2,9.19,5.46,1.68,0.29,22.10%,13.10%,9.00%,0.257,1.61,0.341,65.30%,5.03,4.23,0.8
오원석,121.2,8.28,4.81,1.72,1.26,20.40%,11.80%,8.50%,0.258,1.54,0.306,72.60%,5.03,5.65,-0.62
최준호,72.1,7.22,3.73,1.93,1.37,18.50%,9.60%,8.90%,0.246,1.37,0.275,67.40%,5.1,5.53,-0.43
바리아,185.1,8.06,1.75,4.61,0.97,20.50%,4.40%,16.00%,0.295,1.42,0.354,62.70%,5.15,3.94,1.2
문동주,111.1,7.76,3.07,2.53,1.13,19.10%,7.60%,11.60%,0.322,1.67,0.383,69.80%,5.17,4.79,0.38
한현희,76.1,8.25,2.83,2.92,0.83,20.50%,7.00%,13.50%,0.299,1.52,0.368,69.70%,5.19,4.44,0.74
김민수,81.1,8.3,3.65,2.27,0.89,20.90%,9.20%,11.70%,0.259,1.44,0.315,58.10%,5.2,4.44,0.76
김진욱,84.2,9.25,4.68,1.98,1.38,22.40%,11.30%,11.10%,0.261,1.57,0.315,69.60%,5.31,5.36,-0.04
황준서,72.0,8.75,6.38,1.37,1.13,20.50%,15.00%,5.60%,0.281,1.82,0.345,74.60%,5.38,5.76,-0.39
김인범,63.1,3.84,4.41,0.87,1.28,9.10%,10.40%,-1.30%,0.291,1.67,0.297,73.00%,5.4,6.59,-1.19
이재학,104.1,8.37,3.62,2.31,1.47,21.00%,9.10%,11.90%,0.26,1.44,0.301,66.10%,5.52,5.33,0.19
김선기,76.1,5.07,3.54,1.43,1.53,12.00%,8.40%,3.60%,0.283,1.59,0.294,69.90%,5.54,6.25,-0.71
시라카와,57.1,7.22,5.18,1.39,0.94,17.40%,12.50%,4.90%,0.259,1.6,0.301,62.40%,5.65,5.39,0.26
송영진,99.1,6.07,4.62,1.31,0.91,14.70%,11.20%,3.50%,0.277,1.64,0.312,60.00%,5.8,5.28,0.52
이로운,56.0,6.59,6.91,0.95,0.64,14.80%,15.50%,-0.70%,0.29,1.96,0.339,65.20%,5.95,5.68,0.27
백정현,78.2,6.41,3.09,2.07,1.49,15.60%,7.50%,8.10%,0.313,1.67,0.346,66.80%,5.95,5.54,0.41
김윤하,79.0,4.9,3.99,1.23,0.68,11.80%,9.60%,2.20%,0.287,1.62,0.316,60.70%,6.04,5.13,0.91
이용찬,54.1,8.12,3.48,2.33,0.99,18.70%,8.00%,10.70%,0.343,1.9,0.413,59.00%,6.13,4.65,1.48
최원준,110.0,5.89,2.78,2.12,1.72,14.70%,6.90%,7.80%,0.28,1.45,0.295,64.50%,6.46,6.12,0.34
김기중,59.0,5.95,4.12,1.44,1.22,13.60%,9.40%,4.20%,0.328,1.86,0.364,68.70%,6.56,5.87,0.69
주권,58.0,4.81,1.71,2.82,1.09,12.20%,4.30%,7.90%,0.325,1.53,0.351,53.50%,6.67,4.97,1.7
김규연,59.0,6.1,4.27,1.43,0.92,14.80%,10.40%,4.40%,0.277,1.59,0.313,53.60%,7.02,5.34,1.67
원상현,65.1,8.13,4.27,1.9,0.83,18.20%,9.60%,8.60%,0.361,2.08,0.438,64.80%,7.03,4.65,2.37
나종덕,73.0,9.12,5.79,1.57,1.85,19.50%,12.40%,7.10%,0.348,2.21,0.414,64.10%,8.51,6.53,1.98
이민우,57.0,4.42,4.89,0.9,1.26,10.20%,11.30%,-1.10%,0.326,1.91,0.345,59.30%,8.05,6.02,2.03
장시환,69.0,6.13,6.26,0.98,0.52,13.70%,14.00%,-0.30%,0.302,1.96,0.35,58.30%,7.04,5.02,2.02
유희관,63.0,3.29,3.43,0.96,1.43,7.30%,7.60%,-0.30%,0.373,2.08,0.382,64.20%,7.71,5.9,1.81
