game_id,player_id,일자,상대,구분,결과,ERA1,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA2
20250824KTOB0,72523,2025-08-24,KT,구원,,-,1,0,1,1,0,0,0,1,1,6.75
20250827SSOB0,72523,2025-08-27,삼성,구원,,9.00,6,1,3,0,0,0,1,1,1,6.86
20250322NCHT0,53609,2025-03-22,NC,구원,,54.00,3,1/3,1,0,1,0,1,2,2,54.0
20250325WOHT0,53609,2025-03-25,키움,구원,,0.00,3,1/3,0,0,1,1,0,0,0,27.0
20250327WOHT0,53609,2025-03-27,키움,구원,홀,0.00,3,2/3,1,0,0,0,1,0,0,13.5
20250328HHHT0,53609,2025-03-28,한화,구원,,-,3,0,0,0,2,1,0,2,2,27.0
20250402SSHT0,53609,2025-04-02,삼성,구원,,0.00,2,2/3,0,0,1,0,0,0,0,18.0
20250406LGHT0,53609,2025-04-06,LG,구원,,0.00,3,1,0,0,0,0,2,0,0,12.0
20250408LTHT0,53609,2025-04-08,롯데,구원,홀,0.00,1,1/3,0,0,0,0,1,0,0,10.8
20250409LTHT0,53609,2025-04-09,롯데,구원,홀,0.00,2,2/3,0,0,0,0,0,0,0,9.0
20250411SKHT0,53609,2025-04-11,SSG,구원,,-,2,0,1,0,1,0,0,2,2,13.5
20250603HTOB0,68220,2025-06-03,KIA,선발,패,9.00,15,3,1,0,4,1,6,3,3,9.0
20250608LTOB0,68220,2025-06-08,롯데,선발,패,3.60,22,5,6,0,2,0,4,2,2,5.63
20250615WOOB0,68220,2025-06-15,키움,선발,승,2.35,29,7 2/3,6,1,0,0,3,2,2,4.02
20250621LGOB0,68220,2025-06-21,LG,선발,승,6.00,26,6,7,1,2,0,2,4,4,4.57
20250627NCOB0,68220,2025-06-27,NC,선발,,10.13,28,5 1/3,9,1,1,1,6,7,6,5.67
20250703SSOB0,68220,2025-07-03,삼성,선발,,0.00,22,6,2,0,3,0,5,0,0,4.64
20250709LTOB0,68220,2025-07-09,롯데,선발,,1.29,29,7,5,0,2,0,5,3,1,4.05
20250702SKOB0,68220,2025-07-02,SSG,선발,,1.29,26,7,2,1,2,0,6,1,1,3.64
20250726LGOB0,68220,2025-07-26,LG,선발,,3.86,26,7,4,0,2,0,6,3,3,3.67
20250801SKOB0,68220,2025-08-01,SSG,선발,패,3.60,23,5,6,0,2,0,8,3,2,3.66
20250807LGOB0,68220,2025-08-07,LG,선발,,4.50,28,6,5,0,4,0,2,3,3,3.74
20250814NCOB0,68220,2025-08-14,NC,선발,,7.20,24,5,8,2,1,0,4,4,4,3.99
20250802HHOB0,68220,2025-08-02,한화,선발,승,6.35,25,5 2/3,6,0,3,0,4,4,4,4.16
20250826SSOB0,68220,2025-08-26,삼성,선발,패,5.06,24,5 1/3,6,0,4,0,6,3,3,4.22
20250831LTOB0,68220,2025-08-31,롯데,선발,패,5.40,25,5,6,1,2,0,8,3,3,4.29
20250909KTOB0,68220,2025-09-09,KT,선발,패,7.11,24,6 1/3,5,1,1,0,7,5,5,4.48
20250916WOOB0,68220,2025-09-16,키움,선발,패,5.40,23,5,6,0,3,0,6,3,3,4.53
20250922SKOB0,68220,2025-09-22,SSG,선발,승,0.00,21,5,4,0,2,0,11,0,0,4.31
20250928LTOB0,68220,2025-09-28,롯데,선발,승,2.57,25,7,2,1,1,0,8,2,2,4.2
20250323LGLT0,63543,2025-03-23,LG,구원,,54.00,6,2/3,3,1,1,0,2,4,4,54.0
20250429WOLT0,63543,2025-04-29,키움,구원,,0.00,5,1 1/3,0,0,0,1,1,0,0,18.0
20250502NCLT0,63543,2025-05-02,NC,구원,홀,0.00,2,1/3,1,0,0,0,0,0,0,15.43
20250504NCLT0,63543,2025-05-04,NC,구원,패,18.00,5,1,1,0,1,0,1,2,2,16.2
20250507SKLT0,63543,2025-05-07,SSG,구원,,0.00,3,1/3,1,0,1,0,0,1,0,14.73
20250617HHLT0,63543,2025-06-17,한화,구원,,0.00,3,1,0,0,0,0,2,0,0,11.57
20250704HTLT0,63543,2025-07-04,KIA,구원,,0.00,1,1/3,0,0,0,0,1,0,0,10.8
20250705HTLT0,63543,2025-07-05,KIA,구원,,0.00,4,1,1,0,0,0,1,0,0,9.0
20250708OBLT0,63543,2025-07-08,두산,구원,,-,1,0,0,0,1,0,0,1,1,10.5
20250902WOLT0,63543,2025-09-02,키움,구원,,0.00,5,1,1,0,1,0,0,0,0,9.0
20250925LGLT0,63543,2025-09-25,LG,구원,,0.00,10,2,1,0,2,0,2,2,0,7.0
20250907HTNC0,65933,2025-09-07,KIA,선발,,0.00,13,3,4,0,0,0,2,0,0,0.0
20250918SSNC0,65933,2025-09-18,삼성,선발,,0.00,10,3,1,0,0,0,4,0,0,0.0
20250924LGNC0,65933,2025-09-24,LG,선발,,8.31,20,4 1/3,8,1,1,0,3,4,4,3.48
20250903KTNC0,65933,2025-09-03,KT,구원,승,0.00,16,4,1,0,2,0,9,0,0,2.51
20250326LGHH0,55764,2025-03-26,LG,구원,,0.00,5,1,0,0,2,0,1,0,0,0.0
20250329HTHH0,55764,2025-03-29,KIA,구원,,0.00,5,1 1/3,0,0,1,0,1,0,0,0.0
20250402LTHH0,55764,2025-04-02,롯데,구원,,0.00,5,1,2,0,0,0,0,0,0,0.0
20250404SSHH0,55764,2025-04-04,삼성,구원,,0.00,4,1,0,0,1,0,1,0,0,0.0
20250406SSHH0,55764,2025-04-06,삼성,구원,,45.00,9,1,3,1,3,0,1,5,5,8.44
20250323LTLG0,77263,2025-03-23,롯데,구원,,9.00,6,1,2,0,1,0,1,1,1,9.0
20250325HHLG0,77263,2025-03-25,한화,구원,,0.00,3,1,0,0,0,0,1,0,0,4.5
20250327HHLG0,77263,2025-03-27,한화,구원,세,9.00,5,1,1,0,1,0,0,1,1,6.0
20250404HTLG0,77263,2025-04-04,KIA,구원,홀,0.00,5,1,1,0,1,0,1,0,0,4.5
20250411OBLG0,77263,2025-04-11,두산,구원,승,0.00,4,1,0,0,1,0,0,0,0,3.6
20250425HTLG0,77263,2025-04-25,KIA,구원,,0.00,4,2/3,1,0,1,0,2,0,0,3.18
20250429HHLG0,77263,2025-04-29,한화,구원,,0.00,3,1,0,0,0,0,1,0,0,2.7
20250502SKLG0,77263,2025-05-02,SSG,구원,,0.00,3,1,0,0,0,0,1,0,0,2.35
20250503SKLG0,77263,2025-05-03,SSG,구원,홀,0.00,4,1 2/3,1,0,0,0,0,0,0,1.93
20250507OBLG0,77263,2025-05-07,두산,구원,,0.00,6,1,1,0,2,0,1,0,0,1.74
20250501SSLG0,77263,2025-05-01,삼성,구원,홀,0.00,4,1,0,0,0,1,1,0,0,1.59
