game_id,stadium,team_away,team_home,status,crowd,time_start,time_end,time_run,score_away,score_home
20210606LTKT0,수원,롯데,KT,finished,2000,17:00,21:19,4:19,8,7
20210606LGHT0,광주,LG,KIA,finished,1807,17:01,19:50,2:49,10,0
20210606SSWO0,고척,삼성,키움,finished,1674,17:00,20:14,3:14,3,1
20210608WOHH0,한밭,키움,한화,finished,936,18:30,21:44,3:14,2,4
20210608NCLG0,잠실,NC,LG,finished,1847,18:30,21:45,3:15,1,2
20210608KTSK0,문학,KT,SSG,finished,1902,18:30,21:30,3:00,4,2
20210608OBLT0,사직,두산,롯데,finished,1285,18:30,22:21,3:51,9,18
20210608HTSS0,대구,KIA,삼성,finished,1241,18:31,21:41,3:10,0,7
20210609WOHH0,한밭,키움,한화,finished,920,18:30,21:38,3:08,6,2
20210609NCLG0,잠실,NC,LG,finished,1736,18:30,22:04,3:34,3,6
20210609KTSK0,문학,KT,SSG,finished,1792,18:31,21:43,3:12,7,3
20210609OBLT0,사직,두산,롯데,finished,1308,18:29,22:07,3:38,14,8
20210609HTSS0,대구,KIA,삼성,finished,1341,18:29,22:19,3:50,7,5
20210610WOHH0,한밭,키움,한화,finished,872,18:30,22:42,2:51,0,1
20210610NCLG0,잠실,NC,LG,finished,1624,18:30,21:31,3:01,6,0
20210610KTSK0,잠실,KT,SSG,canceled,nan,,,,nan,nan
20210610OBLT0,사직,두산,롯데,finished,1422,18:30,21:36,3:06,4,5
20210610HTSS0,대구,KIA,삼성,finished,1597,18:29,21:28,2:59,2,4
20210611OBLG0,잠실,두산,LG,finished,2472,18:30,21:47,3:17,1,3
20210611WOSK0,문학,키움,SSG,finished,2231,18:29,21:38,3:09,6,8
20210611HTLT0,문학,KIA,롯데,canceled,nan,,,,nan,nan
20210611NCSS0,대구,NC,삼성,finished,1233,18:30,21:37,3:07,5,4
20210611HHKT0,수원,한화,KT,finished,1661,18:31,22:58,4:27,5,6
20210612OBLG0,잠실,두산,LG,finished,2472,17:00,20:27,3:27,8,3
20210612WOSK0,문학,키움,SSG,finished,2300,17:00,20:15,3:15,4,5
20210612HTLT0,문학,KIA,롯데,canceled,nan,,,,nan,nan
20210612NCSS0,대구,NC,삼성,finished,2317,17:00,19:47,2:47,1,4
20210612HHKT0,수원,한화,KT,finished,2000,17:00,20:32,3:32,2,7
20210612HTLT1,수원,KIA,롯데,canceled,nan,,,,nan,nan
20210613OBLG0,잠실,두산,LG,finished,2472,17:00,20:43,3:43,0,2
20210613WOSK0,문학,키움,SSG,finished,2300,17:00,19:54,2:54,7,3
20210613NCSS0,대구,NC,삼성,finished,2240,17:00,20:28,3:28,3,5
20210613HHKT0,수원,한화,KT,finished,2000,17:00,20:06,3:06,3,6
20210613HTLT1,사직,KIA,롯데,finished,2119,13:59,17:45,3:46,6,8
20210613HTLT2,사직,KIA,롯데,finished,2284,18:17,21:47,3:30,6,3
20210615LTHH0,한밭,롯데,한화,finished,1067,19:05,22:32,3:27,2,3
20210615SSOB0,잠실,삼성,두산,finished,2706,18:31,22:14,3:43,8,6
20210615KTNC0,잠실,KT,NC,canceled,nan,,,,nan,nan
20210615SKHT0,잠실,SSG,KIA,canceled,nan,,,,nan,nan
20210615LGWO0,고척,LG,키움,finished,1348,18:30,21:59,3:29,4,2
20210616SSOB0,잠실,삼성,두산,finished,3702,18:31,21:29,2:58,5,3
20210616KTNC0,창원,KT,NC,finished,1127,18:31,21:45,3:14,7,3
20210616LGWO0,고척,LG,키움,finished,1445,18:30,21:41,3:11,3,6
20210616LTHH1,한밭,롯데,한화,finished,805,15:00,18:24,3:24,4,9
20210616SKHT1,광주,SSG,KIA,finished,573,15:00,18:06,3:06,10,1
20210616LTHH2,한밭,롯데,한화,finished,1150,18:57,22:18,3:21,3,4
20210616SKHT2,광주,SSG,KIA,finished,916,18:35,21:44,3:09,0,2
20210617LTHH0,한밭,롯데,한화,finished,1078,18:31,22:06,3:35,9,2
20210617SSOB0,잠실,삼성,두산,finished,3258,18:31,21:35,3:04,2,6
20210617KTNC0,창원,KT,NC,finished,1143,18:31,21:32,3:01,1,9
20210617SKHT0,광주,SSG,KIA,finished,925,18:30,21:35,3:05,6,3
20210617LGWO0,고척,LG,키움,finished,1739,18:30,22:05,3:35,6,5
20210618SKHH0,한밭,SSG,한화,finished,1084,18:30,22:48,4:18,3,4
20210618HTLG0,잠실,KIA,LG,finished,4860,18:30,20:46,2:16,0,5
