player_id,구분,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
63123,만루,0.188,16,3,0,0,1,12,1,0,2,1
63123,주자있음,0.279,208,58,9,5,4,56,16,2,43,12
63123,득점권,0.273,121,33,6,1,3,50,10,2,24,7
63123,0-0,0.390,41,16,2,2,0,4,0,2,0,3
63123,1-0,0.324,34,11,0,0,0,4,0,2,0,2
63123,2-0,0.143,14,2,0,0,1,4,0,1,0,1
63123,3-0,1.000,1,1,1,0,0,1,4,0,0,0
63123,0-1,0.267,30,8,3,1,1,3,0,1,0,3
63123,1-1,0.423,26,11,3,0,1,9,0,0,0,1
63123,2-1,0.350,20,7,2,1,1,4,0,0,0,0
63123,3-1,0.167,12,2,0,0,0,1,8,0,0,0
63123,0-2,0.191,47,9,1,0,0,6,0,0,23,1
63123,1-2,0.234,77,18,2,0,1,6,0,0,35,0
63123,2-2,0.187,75,14,3,2,2,10,0,0,36,1
63123,3-2,0.286,42,12,1,0,0,7,15,0,16,0
63123,1회,0.118,17,2,0,0,0,4,3,0,2,0
63123,2회,0.261,69,18,4,0,2,9,3,1,26,4
63123,3회,0.258,31,8,1,0,1,6,3,1,8,0
63123,4회,0.356,59,21,4,1,1,13,0,0,13,0
63123,5회,0.245,49,12,0,1,0,5,3,1,12,1
63123,6회,0.150,40,6,1,0,0,2,3,0,13,2
63123,7회,0.270,63,17,6,3,1,7,2,1,17,4
63123,8회,0.316,38,12,2,1,0,5,9,2,6,1
63123,9회,0.326,46,15,0,0,2,8,1,0,11,0
63123,연장,0.000,7,0,0,0,0,0,0,0,2,0
63123,1~3회,0.239,117,28,5,0,3,19,9,2,36,4
63123,4~6회,0.264,148,39,5,2,1,20,6,1,38,3
63123,7회이후,0.286,154,44,8,4,3,20,12,3,36,5
63123,2번타자,0.200,5,1,0,0,0,0,1,0,0,0
63123,3번타자,0.300,10,3,1,0,0,0,0,0,3,0
63123,4번타자,-,0,0,0,0,0,0,1,0,0,0
63123,5번타자,0.200,40,8,0,0,0,3,5,0,13,2
63123,6번타자,0.251,171,43,12,5,3,22,10,2,38,4
63123,7번타자,0.314,153,48,5,1,4,32,8,3,38,4
63123,8번타자,0.138,29,4,0,0,0,2,2,0,15,2
63123,9번타자,0.364,11,4,0,0,0,0,0,1,3,0
63123,좌투수,0.328,116,38,7,3,4,25,10,0,31,3
63123,우투수,0.238,261,62,10,3,2,30,13,4,71,6
63123,언더투수,0.262,42,11,1,0,1,4,4,2,8,3
63123,0아웃,0.260,131,34,7,3,2,12,5,1,29,5
63123,1아웃,0.302,139,42,5,2,1,15,12,4,31,7
63123,2아웃,0.235,149,35,6,1,4,32,10,1,50,0
53460,주자없음,0.333,9,3,1,0,0,0,1,0,1,0
53460,1루,0.000,5,0,0,0,0,0,0,0,1,0
53460,주자있음,0.000,5,0,0,0,0,0,0,0,1,0
53460,0-0,0.000,2,0,0,0,0,0,0,0,0,0
53460,1-0,0.000,1,0,0,0,0,0,0,0,0,0
53460,0-1,1.000,1,1,0,0,0,0,0,0,0,0
53460,1-1,0.000,2,0,0,0,0,0,0,0,0,0
53460,2-1,0.500,4,2,1,0,0,0,0,0,0,0
53460,2-2,0.000,2,0,0,0,0,0,0,0,0,0
53460,3-2,0.000,2,0,0,0,0,0,1,0,2,0
53460,3회,0.000,4,0,0,0,0,0,0,0,1,0
53460,5회,0.333,3,1,1,0,0,0,1,0,0,0
53460,6회,0.000,1,0,0,0,0,0,0,0,0,0
53460,7회,0.667,3,2,0,0,0,0,0,0,1,0
53460,8회,0.000,1,0,0,0,0,0,0,0,0,0
53460,9회,0.000,2,0,0,0,0,0,0,0,0,0
53460,1~3회,0.000,4,0,0,0,0,0,0,0,1,0
53460,4~6회,0.250,4,1,1,0,0,0,1,0,0,0
53460,7회이후,0.333,6,2,0,0,0,0,0,0,1,0
53460,5번타자,0.500,2,1,0,0,0,0,0,0,0,0
53460,9번타자,0.167,12,2,1,0,0,0,1,0,2,0
53460,좌투수,0.000,7,0,0,0,0,0,1,0,1,0
53460,우투수,0.250,4,1,0,0,0,0,0,0,1,0
53460,언더투수,0.667,3,2,1,0,0,0,0,0,0,0
53460,0아웃,0.250,8,2,1,0,0,0,0,0,1,0
53460,1아웃,0.000,2,0,0,0,0,0,1,0,1,0
53460,2아웃,0.250,4,1,0,0,0,0,0,0,0,0
62925,주자없음,0.247,73,18,2,0,1,1,1,2,13,0
62925,1루,0.286,21,6,2,0,1,2,2,0,3,2
62925,2루,0.154,13,2,1,0,1,3,1,0,2,0
62925,3루,1.000,1,1,0,0,0,1,0,0,0,0
62925,"1,2루",0.333,15,5,1,1,0,5,1,1,0,0
